CRWD,NVDA,AVGO,TSLA,PANW,MSFT,AMZN,AB,AAPL,GOOGL,V,DIS
55.209999,4.90925,29.032,17.192667,70.860001,141.570007,88.369003,28.02,58.830002,62.112,178.75,129.759995
52.029999,4.85525,28.848,17.316668,70.980003,140.410004,88.871498,27.780001,58.592499,62.150002,177.869995,130.860001
50.439999,4.85725,28.943001,17.464666,71.423332,139.690002,89.374001,27.540001,58.82,62.639999,177.940002,132.369995
47.040001,4.76225,28.673,17.129999,70.870003,137.410004,87.875504,28.08,59.102501,62.220501,175.710007,130.889999
47.400002,4.90025,28.957001,16.9,70.756668,138.429993,89.282997,28.33,60.127499,62.214001,176.429993,130.259995
46.200001,4.89025,28.746,17.038668,71.136665,136.369995,88.286499,27.84,59.990002,62.060001,170.860001,132.399994
47.869999,4.87725,28.032,16.978666,72.400002,137.240005,88.108498,28.16,60.794998,62.8815,171.320007,131.130005
51.84,4.9215,28.231001,19.978666,73.856667,139.940002,89.039001,29.25,60.895,62.955502,176.160004,130.259995
50.110001,5.1135,28.982,21.875334,74.883331,140.729996,88.066498,28.809999,61.645,63.215,177.850006,130.899994
47.950001,5.16975,29.155001,21.847334,75.98333,144.190002,88.853996,29.139999,62.262501,64.448997,179.839996,130.529999
47.799999,5.073,28.816,21.081333,74.863335,142.830002,88.135498,29.65,60.822498,63.033001,177.630005,129.479996
51.445,5.075,29.024,21.000668,75.660004,144.610001,88.999496,29.35,60.814999,63.035,179.25,129.600006
49.91,5.0255,29.285,20.994667,75.796669,143.369995,88.833,29.360001,62.189999,62.939999,178.860001,129.919998
48.5,5.06475,29.659,20.887333,77.856667,143.720001,89.571999,29.059999,63.955002,63.612499,180.929993,132.75
49.650002,5.2625,30.5,21.164667,78.006668,144.550003,90.233002,29.18,64.375,64.480499,178.949997,132.919998
48.700001,5.24025,31.403999,21.148001,77.839996,144.460007,90.085503,29.540001,64.282501,64.571999,176.369995,131.449997
47.830002,5.19075,31.316,21.771999,77.563332,144.059998,89.788498,29.620001,64.309998,64.550499,176.770004,131.270004
45.5,5.2085,31.174,22.369333,77.953331,144.259995,89.410004,29.57,64.857498,65.347,178.429993,132.960007
47.209999,5.1945,31.341,22.476,78.976669,145.960007,89.293999,29.35,65.035004,65.449997,178.970001,137.960007
46.200001,5.2045,31.275,23.006001,78.669998,146.110001,88.582497,29.299999,65.550003,64.914001,179.539993,136.740005
47.049999,5.24025,31.552999,23.328667,80.383331,147.070007,88.900002,29.629999,65.489998,64.860497,179.740005,138.580002
52,5.21425,31.367001,23.073999,81.076668,147.309998,87.655502,29.82,66.1175,64.808998,179.410004,148.720001
52.73,5.24475,30.896999,23.290001,81.83667,148.059998,87.730003,29.85,65.660004,65.457497,179.75,147.149994
59.75,5.10475,31.291,23.478001,82.333336,149.970001,86.974503,29.700001,66.440002,66.677002,179.770004,144.669998
57.07,5.307,31.107,23.332666,82.863335,150.339996,87.626503,29.450001,66.775002,65.991997,179.660004,147.649994
56,5.19975,31.77,23.968,82.726669,150.389999,87.639503,29.440001,66.572502,65.629501,182.770004,148.380005
54.880001,5.2795,31.167,23.481333,82.623337,149.619995,87.276497,29.299999,65.797501,65.093002,181.660004,146.929993
53.77,5.2545,31.525,23.655333,82.246666,149.479996,86.735497,29.23,65.502502,65.007004,179.889999,146.899994
54.200001,5.27225,31.492001,22.202667,82.290001,149.589996,87.286003,29.200001,65.445,64.683502,179.470001,148.289993
55.84,5.53025,31.962,22.422667,83.426666,151.229996,88.692001,28.959999,66.592499,65.281998,180.970001,149.690002
55.580002,5.425,31.627001,21.927999,73.456665,152.029999,89.847,28.799999,66.072502,65.650002,182.550003,151.639999
56.290001,5.456,31.844,22.086,74.089996,152.320007,90.925499,28.879999,66.959999,65.606499,184.369995,151.479996
58,5.4185,31.621,21.996,75.739998,151.380005,90.040001,28.969999,66.8125,65.204498,184.509995,151.580002
55.009998,5.23125,31.072001,22.324667,74.903336,149.550003,89.080002,28.610001,66.040001,64.443001,181.789993,150.619995
57.369999,5.1915,30.652,22.413334,75.669998,149.309998,88.498001,28.4,64.862503,64.737,181.899994,148.580002
54.98,5.2355,30.972,22.202,75.206665,149.850006,88.0345,28.690001,65.434998,65.946999,180.600006,148.279999
52.950001,5.2185,31.118999,22.024668,76.290001,149.929993,87.024002,28.66,66.394997,66.348,181.889999,147.440002
50.889999,5.30425,31.605,22.392668,75.463333,151.75,87.580002,29.32,67.677498,66.969498,182.169998,147.660004
