MMM, HON, ITW, JNJ, RTX, ADP
CLX, PEP, IEX, VZ, WMT, AEP
MCD, PEP, AEP, O, DTE, AVB
AWK, LNT, AEP, ATO, NEE, SO
NDSN, IEX, AME, HD, AVY, ED
AVB, ESS, CPT, AEE, WEC, FRT
BKNG, EXPE, MA, O, OMC, GOOGL
LUV, DAL, TDY, ESS, BXP, CINF
F, APTV, PCAR, GRMN, PFG, ETN
AME, IEX, ETN, APH, DTE, AFL
CMG, ITW, ORLY, D, MSFT, BRO
FDS, MCO, VRSK, IEX, BRO, CBOE
ADBE, MSFT, SNPS, CRM, V, NOW
GLW, JNJ, TEL, MCD, CMS, LYB
ULTA, ROST, MCD, AEP, FRT, DLR
SBUX, MCD, FITB, PG, KEY, PEP
RCL, NCLH, CCL, HLT, TYL, MAR
KIM, FRT, REG, MAR, TT, AMP
JNJ, BRK-B, UNH, AVB, ITW, LIN
HUBB, ETN, AME, VMC, ALLE, UPS
HAL, SLB, BKR, FANG, ITW, VLO
DG, TGT, WMT, KR, ORLY, CLX
TRMB, ED, IEX, PTC, TEL, GOOGL
AMZN, GOOG, META, MSFT, TROW, LIN
CPAY, MA, V, SPGI, FRT, HBAN
NUE, CNP, FCX, EMN, PKG, SNA
CCL, MAR, KIM, BAC, AFL, MCD
TRGP, OKE, KMI, XOM, ED, WMB
STLD, NUE, NDSN, MKC, NDAQ, DUK
SNPS, MSFT, APH, MPWR, NOW, FICO
UPS, EXPD, JBHT, CHRW, TROW, WM
VRSN, AME, VRSK, PAYX, SPGI, CVX
AIZ, TRV, MET, HIG, TDG, EG
JPM, BAC, BRK-B, PNC, LIN, L
WAB, IEX, ETN, RF, PCAR, CAT
A, TMO, WAT, RVTY, NTRS, TECH
WDC, MU, LRCX, MCO, L, CNC
LEN, DHI, PHM, NVR, LNT, LKQ
MHK, ETN, ROP, PHM, UDR, EQR
TRV, CB, WEC, PGR, REG, DTE
CTAS, RSG, AFL, VRSK, APH, CPRT
TXT, LMT, L, TEL, O, WAB
CSGP, TYL, NOW, ROL, SPGI, EQIX
STE, BAX, COO, SYK, BRO, CRL
PGR, BRK-B, JPM, AJG, FRT, CB
CME, CBOE, AJG, JPM, MCO, EQR
RMD, HIG, PEP, EMR, CMI, TRV
BDX, ABT, TFX, HOLX, JNJ, SPG
CHD, CLX, PG, CL, AON, NOC
DD, LYB, LIN, VZ, ECL, APD
GNRC, TROW, ODFL, TT, TYL, VLO
WYNN, LVS, MGM, PSA, FRT, RSG
TYL, DTE, SPGI, CMS, BRO, ETN
STT, BK, BAC, PFG, HBAN, CMS
TSN, KDP, SJM, HIG, KIM, CHD
C, BAC, JPM, GS, KEY, BK
CVS, UNH, WMT, VZ, GRMN, PFE
NTAP, STX, ETR, CSCO, HPQ, JPM
JBHT, ODFL, ITW, NTRS, HD, ROL
LNT, JNJ, BAC, L, AVB, BRK-B
ON, ADI, WEC, DTE, NXPI, CL
EL, CL, SBUX, PG, ACGL, EL
IRM, DLR, PSA, SPG, WEC, FRT
BRK-B, L, MCO, MSFT, PLD, CL
DE, CAT, PCAR, WM, ITW, BA
TFC, PNC, BAC, PNW, TRV, KIM
BAX, BDX, ABT, TFX, MMC, TXN
FSLR, NEE, PEP, SO, AES, LRCX
AMP, PFG, AJG, SCHW, LNT, BLK
CMI, PCAR, CAT, ITW, ETN, WELL
CINF, L, CB, BRK-B, CMCSA, DTE
GOOG, GOOGL, GOOG, MMC, PNC, SWK
FFIV, JNPR, CSCO, APH, PTC, TYL
PFG, USB, L, RF, BRK-B, BLK
ABBV, AMGN, PFE, ABT, JNJ, MRK
TT, ETN, ALLE, ODFL, DOV, ITW
SPGI, MCO, SO, V, WM, SBAC
ICE, CME, CBOE, PLD, MCO, BRK-B
PHM, WY, IEX, RJF, POOL, SHW
DTE, LNT, PEG, PNW, O, ETR
FTNT, NOW, ITW, ESS, EXR, TYL
HAS, PAYX, SWK, DIS, WEC, COO
AXP, V, REG, JPM, BRK-B, MA
EA, TTWO, REGN, AEP, AMZN, DHI
PWR, ETR, ETN, NEE, GRMN, CVX
PLD, MCO, None, None, None, None
TTWO, TFC, BDX, GOOG, CHD, ABT
ESS, FRT, PLD, REG, PSA, EXR
PM, PEP, CL, PG, T, PPL
OMC, L, ITW, FRT, ATO, MTB
PCG, EIX, None, None, None, None
MKTX, CME, MCO, TYL, EQR, EQIX
PAYX, ADP, DTE, USB, SRE, APH
SBAC, CCI, MCO, DLR, PLD, ARE
ZBH, MDT, BSX, TFX, FRT, UHS
DOC, KIM, PLD, CPT, UDR, PSA
STX, WDC, MSFT, KO, AMP, INTC
CHRW, EXPD, JBHT, None, None, None
IBM, ACN, T, CSCO, LMT, ORCL
O, DOC, FRT, REG, AVB, CPT
SMCI, LRCX, ETN, VMC, EXPD, GOOGL
L, MCO, FRT, DTE, CMS, ATO
FITB, RF, TFC, KEY, PNC, HBAN
MRK, JNJ, PFE, BRK-B, INCY, UNH
PFE, JNJ, BRK-B, UNH, PSA, INCY
NWSA, NWS, NWSA, WELL, TROW, ED
IFF, LIN, BLK, DOC, PEP, CHRW
AMAT, LRCX, MCHP, TER, QCOM, NVDA
AIG, CB, PFG, L, SPG, EQR
VMC, ETN, ITW, SO, CBOE, SPG
REGN, INCY, MRK, PFE, ABT, DTE
PSX, VLO, COP, XOM, SLB, LYB
UNH, BRK-B, LIN, AVB, MSFT, INCY
MLM, VMC, ETN, ECL, TT, LYB
IVZ, TROW, BLK, WM, AMP, FRT
ECL, LIN, ETN, AVY, CAT, V
SJM, PEP, KMB, CHD, LNT, ITW
ES, WEC, AEP, NEE, AWK, SO
KMI, COP, DTE, SO, RJF, EXC
STZ, BF-B, TAP, ECL, HLT, NEE
NOW, TYL, BRK-B, AMP, MA, PTC
KMX, ED, MRK, ORLY, F, SRE
WELL, DOC, O, DTE, REG, ESS
TGT, WMT, HD, AFL, XEL, PEG
TECH, RVTY, ITW, WAT, CRL, IDXX
MCO, D, AMP, MTB, None, None
AVY, ETN, BALL, PEP, ITW, BRO
NI, CMS, ATO, ETR, LYB, DTE
BEN, TROW, IVZ, BLK, DTE, ATO
PARA, DIS, JPM, CMCSA, TFC, T
MNST, PEP, KDP, SBUX, AJG, TAP
NEE, LNT, SO, AEP, PEG, MSFT
MMC, AJG, BRO, BRK-B, SPGI, CMS
ED, WEC, DUK, SO, ATO, CMS
BBWI, ECL, ADP, SPG, KMB, HD
CBRE, WM, ESS, L, ALL, LHX
K, GIS, SJM, PEP, MDLZ, CHD
FDX, UPS, AVB, EXPD, TFC, WELL
NFLX, AMZN, GOOG, META, URI, TSLA
UAL, DAL, DTE, WEC, LUV, WY
EQIX, DLR, PLD, AMT, MA, MCO
BKR, SLB, KMI, MRO, COP, WEC
ADSK, PTC, ADBE, SO, PG, SNPS
MSFT, MCO, PLD, LH, WELL, CINF
J, PWR, LMT, L, CHRW, HCA
AAPL, MSFT, GOOGL, LRCX, BRK-B, MA
EIX, DTE, SO, AEP, ETR, PNW
EPAM, RSG, NOW, LMT, TROW, ACN
DOV, ITW, ETN, JBHT, LIN, KEY
KO, PEP, PG, CMS, TXN, MCD
DAL, MAR, NCLH, BA, BKNG, EOG
PH, ITW, ETN, DOV, CAT, PNW
MDLZ, PEP, GIS, CL, SJM, PG
BF-B, PEP, ATO, CL, KDP, ALLE
ARE, BXP, PLD, O, DOC, DTE
MCK, CVS, AMP, MRK, ICE, RSG
LOW, HD, MAS, ED, ROST, PHM
META, GOOGL, TROW, MSFT, AAPL, AFL
IDXX, LYB, MCO, RVTY, ABT, ISRG
LULU, DECK, WEC, WMT, POOL, DG
DUK, SO, DTE, AEP, WEC, ES
NOC, LMT, RTX, DTE, MMC, CMS
VLO, L, MAR, PNC, PLD, KIM
CSX, NSC, UNP, NUE, PEP, LYB
APTV, PPL, ITW, WEC, ATO, PEP
HON, ITW, EMR, RTX, RSG, ECL
DPZ, POOL, MCD, CMG, AMZN, ORLY
INCY, MCO, MSFT, None, None, None
WTW, MMC, AJG, BRO, LIN, PPL
EFX, MCO, NTRS, SPGI, EG, ALLE
HPQ, STX, COP, TEL, CAT, JNPR
AKAM, O, JNPR, VRSK, AMGN, JKHY
WEC, LNT, AEP, SO, ATO, AWK
ALB, DTE, ES, LIN, ORCL, MAA
ALGN, GOOGL, MSFT, IDXX, AVY, CINF
MRO, DTE, VLO, L, XEL, CTRA
VTRS, RSG, SO, JNJ, MHK, REGN
TXN, MPWR, LRCX, INTC, TEL, ITW
ISRG, MTB, MDT, TFX, ABT, MA
EW, MDT, ISRG, ABT, TFX, TER
OXY, XOM, MRO, SLB, COP, DOV
EMR, ETN, DTE, AME, ED, ITW
XYL, IEX, TT, ITW, HON, TROW
BAC, PNC, BRK-B, L, PSA, KMB
PRU, MET, PFG, BAC, AIG, BRK-B
EG, CB, L, MCO, UDR, AVB
TFX, ABT, MA, MAA, HOLX, UHS
SNA, ITW, SWK, MET, TXT, ORLY
SPG, KIM, DTE, FRT, SO, REG
GOOGL, MSFT, MA, RTX, BRK-B, MCO
ALLE, ITW, IEX, DOV, OMC, CMS
CVX, XOM, COP, XEL, AEP, ETR
OKE, KMI, WMB, SPG, MRO, AVB
BRO, AJG, ROL, AWK, BRK-B, IEX
WFC, BAC, USB, JPM, RF, CB
MAS, SHW, PHM, AOS, MHK, SWK
IT, ADP, ACN, PNW, BDX, PPL
TAP, PEP, BF-B, OMC, CME, PM
ITW, BRK-B, L, MCO, MAR, MSFT
AZO, ORLY, GPC, CB, LOW, ROP
CF, COP, LYB, MET, FCX, BKR
IQV, PEP, MCO, ABT, EQIX, UNH
COF, AXP, FITB, V, RF, NTRS
RJF, SCHW, AMP, HBAN, MS, AWK
PPL, SO, AEP, DTE, ES, DUK
AEP, LNT, SO, PEG, FRT, ESS
ADI, TXN, MPWR, TER, QCOM, LRCX
MOH, CNC, ELV, UNH, WST, DXCM
JCI, TT, ETN, IEX, APD, APTV
HOLX, ABT, LH, DGX, BXP, VRSK
TSCO, HD, LOW, ORLY, SPGI, TYL
MAR, L, BRK-B, FRT, PEG, MSFT
TMUS, VZ, AMP, TFC, CTSH, V
ZTS, IDXX, VRSK, MRK, PFE, UNH
PEP, XEL, JNJ, DUK, VZ, RF
POOL, ARE, REG, ODFL, KMI, TROW
JNPR, TEL, JNJ, MSFT, ALLE, AAPL
VZ, AEP, BRK-B, LNT, MRK, JNJ
AOS, ALLE, ITW, WM, TT, MA
MCHP, TXN, ADI, ON, APH, CNP
FIS, MA, CPAY, CHRW, KEY, V
MKC, CHD, HRL, GIS, PEP, MDLZ
FRT, REG, O, APTV, PSA, CDW
FE, AEP, PEG, EXC, DUK, ETR
REG, PLD, ED, WEC, EXR, UDR
MAA, CPT, UDR, AVB, PSA, MAA
BLK, MCO, EQR, AVB, KKR, BRK-B
GL, GL, PRU, MET, L, ACGL
ACGL, EG, CB, AJG, L, AIG
ETN, ITW, L, LIN, DTE, PPL
PODD, DXCM, ABT, TYL, TFX, TDG
TJX, MA, WMT, ORLY, GPC, REG
CE, LYB, DD, WEC, TEL, IEX
AES, WEC, DTE, NEE, PEG, NRG
GEN, REG, MSFT, ORCL, LHX, SBAC
CHTR, CMCSA, WM, MCO, SBAC, ARE
ENPH, FSLR, KKR, TSLA, NEE, MU
GM, F, BRK-B, APTV, PH, TDY
MO, PM, BRK-B, PG, IEX, MMM
NRG, EXC, PEG, KMI, ETN, WDC
GPC, ORLY, O, TFC, ITW, SYK
RF, PNC, TFC, BAC, ATO, SCHW
CBOE, O, CB, DOC, CPT, MCO
MPC, VLO, PSX, TT, AVY, CTSH
HRL, GIS, TSN, SJM, CLX, BF-B
APH, TEL, GLW, LRCX, TT, ROL
DFS, COF, AXP, PFG, SPG, TER
TROW, BLK, O, NTRS, AMP, GLW
