PRU, MET, PFG, BAC, BRK-B, AIG
EG, CB, L, None, None, None
TFX, ABT, WFC, HSIC, HOLX, IQV
SNA, SWK, ITW, TXT, MET, ORLY
SPG, KIM, DTE, FRT, REG, O
GOOGL, MSFT, MA, V, RTX, MCO
ALLE, ITW, DOV, OMC, ETN, UDR
CVX, XOM, COP, SO, XEL, KMI
OKE, KMI, WMB, MRO, SPG, ED
BRO, AJG, ROL, AWK, IEX, L
WFC, BAC, USB, JPM, RF, CB
MAS, SHW, AOS, PHM, MHK, SWK
IT, ACN, FDS, ADP, CBOE, TDG
TAP, PEP, BF-B, CME, KMB, OMC
ITW, BRK-B, L, MCO, PLD, MAR
AZO, ORLY, GPC, CB, LOW, ROP
CF, LYB, COP, MET, FCX, BKR
IQV, PEP, MCO, ABT, AJG, FE
COF, AXP, FITB, NTRS, RF, C
RJF, SCHW, AMP, HBAN, MS, ACGL
PPL, AEP, SO, DTE, ES, EIX
AEP, LNT, SO, PEG, FRT, DOC
ADI, TXN, MPWR, TER, ES, QCOM
MOH, CNC, ELV, UNH, WST, UHS
JCI, TT, ETN, IEX, APD, APTV
HOLX, ABT, LH, DGX, CPT, VRSK
TSCO, HD, ORLY, LOW, SPGI, DG
MAR, L, FRT, BRK-B, KO, DTE
TMUS, VZ, AMP, V, TFC, GOOGL
ZTS, IDXX, MRK, UNH, PFE, VRSK
PEP, XEL, JNJ, DUK, VZ, BRK-B
POOL, ARE, TROW, REG, KMI, ODFL
JNPR, TEL, MSFT, ALLE, AAPL, IPG
VZ, BRK-B, AEP, MRK, JNJ, LNT
AOS, ALLE, MA, ITW, NEE, VMC
MCHP, TXN, ADI, ON, APH, AVB
FIS, MA, ETN, FMC, KEY, CPAY
MKC, CHD, HRL, GIS, PEP, MDLZ
FRT, REG, PLD, PSA, O, FRT
FE, AEP, EXC, PEG, ETR, AMT
REG, PLD, WEC, ED, EXR, TFC
MAA, CPT, UDR, AVB, PSA, XEL
BLK, MCO, AVB, EQR, BRK-B, ITW
GL, GL, PRU, MET, L, AIZ
ACGL, EG, CB, L, AJG, AIG
ETN, ITW, L, LIN, KKR, FCX
PODD, DXCM, TYL, HOLX, ABT, TFX
TJX, MA, WMT, REG, ORLY, KIM
CE, LYB, DD, TEL, KEY, WEC
AES, NEE, DTE, ED, ETR, NRG
GEN, REG, MSFT, ORCL, LHX, SBAC
CHTR, CMCSA, MCO, GOOGL, None, None
ENPH, FSLR, ODFL, NEE, TSLA, MU
GM, F, BRK-B, APTV, PH, BAC
MO, PM, PG, BRK-B, IEX, ED
NRG, EXC, PEG, KMI, ETN, WDC
GPC, ORLY, ITW, ADBE, O, DFS
RF, PNC, TFC, BAC, SCHW, L
CBOE, CB, O, MCO, SCHW, TRV
MPC, VLO, PSX, TT, FRT, EXPD
HRL, GIS, TSN, SJM, CLX, PEP
APH, TEL, GLW, TT, ROL, LRCX
DFS, COF, AXP, PFG, SPG, PG
TROW, BLK, NTRS, AMP, GOOG, MCO
DHI, PHM, NVR, CINF, MAS, GPC
WRB, CB, TRV, ACGL, CINF, EG
AEE, CMS, LNT, WEC, XEL, EXC
NCLH, CCL, LNT, MAR, CCI, BA
SO, LNT, PEG, O, AVB, L
HST, MAR, HLT, KIM, EQR, CCL
CB, L, BRK-B, DTE, WELL, LNT
CTRA, EQT, L, None, None, None
ADM, BG, GIS, PEP, GILD, HON
AAL, DAL, UAL, LUV, ITW, VTR
AJG, CB, MCO, BRK-B, EG, CBOE
SWK, ITW, MMM, WM, SHW, WY
DVN, MRO, FANG, EOG, COP, KMI
NDAQ, ICE, CME, FDS, TROW, WEC
BK, BRK-B, BAC, SCHW, USB, KEY
NTRS, BK, STT, SCHW, BAC, MTB
CTSH, ACN, FIS, WY, CPAY, PRU
TEL, ITW, APTV, LRCX, IEX, MAR
CAH, MCK, COR, CVS, HSIC, JNJ
IP, PKG, USB, GM, D, APD
COR, MCK, CVS, HSIC, HOLX, ICE
DXCM, ABT, MMM, RSG, F, CRL
CDNS, SNPS, ANSS, MPWR, TMO, ADBE
TPR, MMC, TJX, BBWI, CMS, CTSH
ROP, AME, IEX, VRSK, RSG, AJG
PTC, ED, EQIX, MA, MSFT, IQV
SHW, ECL, POOL, AVY, LIN, SPGI
BIO, TMO, TECH, PLD, WST, WAT
BX, KKR, BLK, SBAC, ALLE, EFX
DGX, WM, UNH, ABT, IQV, PFE
BIIB, AMGN, REG, GILD, EXR, REGN
HII, GD, LMT, NOC, LHX, J
VRTX, INCY, REGN, AMGN, GILD, MRK
DLR, PLD, MSFT, MCO, NEM, None
DIS, CMCSA, L, NWS, KKR, MAR
MDT, TFX, BAX, ABT, JNJ, O
COP, MRO, O, VLO, AVB, AJG
PEG, LNT, DTE, MAR, AVB, NEM
LDOS, NOC, TDY, FI, AFL, MRK
LHX, NOC, LMT, DOV, RTX, SO
QCOM, TXN, AAPL, APH, MPWR, LRCX
NWS, OMC, CMCSA, IEX, BRK-B, KKR
TDG, WELL, LMT, JNJ, PRU, BA
LVS, MGM, AON, MMC, SBUX, AWK
FCX, LNT, NEM, LIN, ITW, HLT
AMCR, DTE, SHW, L, LYB, SWK
DRI, MCD, SYY, YUM, SPG, LEN
PPG, SHW, HON, CE, LIN, ECL
LMT, WM, BA, JNJ, RJF, APTV
ROL, AJG, ITW, REG, ODFL, PEP
VTR, WELL, DOC, PNW, AFL, PSA
GE, MMM, WAB, PEP, CB, TROW
CAG, GIS, K, SJM, CLX, MDLZ
DVA, UHS, CAH, DGX, BAX, SYK
SRE, SO, NI, DTE, EIX, PEG
BLDR, PHM, WY, PEG, LEN, WEC
HLT, MAR, MCO, CCL, EQR, AMP
WY, O, PLD, IP, CME, AVY
CPB, GIS, CAG, K, SJM, HRL
JKHY, FI, FIS, ADP, WELL, CCI
CDW, PAYX, APH, AME, HPQ, AAPL
CL, PEP, CLX, CMS, CB, JNJ
BALL, WEC, SPG, VMC, PEP, PLD
TER, LRCX, MPWR, TXN, TEL, QCOM
MOS, CF, DTE, UDR, BRK-B, EVRG
RVTY, IQV, HOLX, ABT, AJG, PFE
WMB, KMI, GS, MRO, SBAC, GOOGL
FMC, MOS, APD, DOV, DD, ALB
URI, CAT, VMC, ETN, SO, ODFL
IEX, DOV, ITW, WM, ETN, JNJ
WBA, CVS, AJG, COR, RSG, IPG
MPWR, LRCX, NVDA, APH, TEL, RSG
MTD, A, WAT, TMO, IEX, RVTY
SLB, COP, VLO, MRO, AWK, CAT
WST, ROL, ODFL, EW, GOOGL, BDX
GD, LMT, NOC, RTX, CB, TXT
ATO, LNT, AEP, SO, PNW, ETR
BBY, HD, TGT, FE, TJX, PHM
LYB, LIN, SO, DOV, AXP, AJG
ADP, VRSK, BA, AEP, PEP, MSFT
HD, SHW, TJX, MAS, WMT, ORLY
BMY, JNJ, PFE, ABBV, LLY, AMGN
AVGO, APH, NXPI, ADI, AAPL, TXN
APD, LIN, IEX, SO, WM, LYB
HSY, GIS, PEP, MDLZ, MKC, HRL
LIN, ITW, L, BRK-B, MSFT, MCO
MU, LRCX, BAC, MSFT, HLT, None
COO, TFX, DTE, BDX, ABT, WAT
EVRG, SO, ES, AEP, PNW, ETR
EQT, FRT, MCO, PLD, WELL, MPC
HIG, TRV, AIG, UDR, SO, FRT
PNC, L, BRK-B, ITW, KIM, MCO
HBAN, RF, TFC, PNC, MCO, BAC
INTU, SNPS, ADP, ADBE, MSFT, TYL
TDY, WEC, TDG, MSCI, LHX, GOOG
BG, CMS, MOS, AIG, TEL, COP
DLTR, DG, TGT, ORLY, MGM, MMC
PNR, DOV, XYL, SWK, WM, ITW
RTX, LMT, MAR, DOV, BA, TDG
CPRT, SNPS, VRSK, HIG, IPG, ODFL
USB, TFC, PNC, HBAN, JPM, KEY
DECK, CMS, ORLY, SWK, CMG, POOL
FAST, ITW, AFL, PCAR, AME, TROW
ORLY, PEP, UNH, MSFT, LH, CBOE
GILD, AMGN, REGN, MRK, PEP, ABT
CAT, ETN, ITW, AJG, BRK-B, IEX
IPG, OMC, GOOG, DOV, USB, LH
BSX, MDT, ISRG, ABT, BDX, TFX
ORCL, MSFT, PG, CSCO, SNPS, ETN
GPN, FIS, FI, MA, CPAY, V
NVR, PHM, O, SO, SPG, SHW
BA, CCL, BRK-B, JPM, LIN, MAR
UHS, HCA, LH, OMC, JNJ, PNC
FI, FIS, MA, ADP, V, LMT
PCAR, ITW, ETN, PFG, CAT, IEX
KKR, MCO, JNJ, PLD, MSFT, SCHW
DHR, TMO, A, WST, XYL, PSA
NSC, JBHT, DOV, AME, MMM, RSG
ZBRA, APH, PPL, TRMB, IQV, UDR
SYK, ZBH, MDT, BSX, TFX, ISRG
ETR, SO, PNW, AEP, LNT, PEG
KEY, TFC, RF, HBAN, PNC, KEY
LLY, MRK, JNJ, MCD, RSG, BIIB
COST, WMT, KR, HD, TGT, SWK
INTC, MSFT, LRCX, MU, WST, ABT
XEL, CMS, WEC, LNT, ES, AEP
BWA, APTV, F, SNA, PCAR, WM
EQR, AVB, UDR, ESS, XOM, FRT
WM, ROL, AJG, AEP, CME, PEP
WBD, PARA, MMC, CMCSA, DIS, AJG
AMGN, JNJ, REGN, MRK, PFE, COR
RL, TPR, FRT, O, SPGI, CMCSA
MS, GS, AMP, BAC, SCHW, C
MET, PFG, AMP, L, AIG, BAC
KDP, PEP, DTE, CMS, LMT, SO
CNP, DTE, SRE, ETR, NI, EXC
CI, ELV, UNH, CVS, MCK, UHS
PKG, AVY, BALL, O, ITW, AEP
KLAC, LRCX, AMAT, TER, MPWR, TXN
GRMN, EQR, AVB, WMT, MCO, JNJ
ROK, ITW, EMR, AME, ETN, PH
APA, MRO, OXY, EOG, SLB, FANG
EOG, COP, FANG, XOM, MRO, SLB
CNC, UNH, LH, HCA, UHS, GOOG
TSLA, AAPL, NEE, SO, MSFT, WEC
XOM, COP, SLB, BRK-B, VLO, VZ
WMT, PEP, BRK-B, O, ORLY, CPT
MTB, PNC, RF, TFC, USB, HBAN
PANW, FTNT, NOW, CPAY, TSLA, INTC
AON, MMC, WTW, AJG, BRO, FRT
EBAY, ABT, TYL, BLK, BALL, GOOGL
SYY, SBAC, UPS, KO, RTX, TSN
LH, DGX, IQV, UNH, ABT, IEX
BR, JKHY, PAYX, ACN, MMC, MCO
FICO, ED, MCO, V, EFX, MSFT
JBL, TEL, APH, NXPI, CDW, MPWR
GS, JPM, BAC, BRK-B, BLK, KKR
HCA, DGX, SPG, LH, UNH, DLR
LYV, HST, IVZ, CMCSA, MRK, KIM
BXP, FRT, AVB, ESS, KIM, DOC
CPT, ESS, PLD, PSA, REG, EXR
PNW, LNT, AEP, PEG, SO, O
MTCH, CL, MA, EG, SO, SBAC
LRCX, MSFT, LNT, ITW, GOOGL, MCO
MA, V, MSFT, MCO, BA, VLO
