HAS, SWK, ADP, POOL, PRU, GOOGL
AXP, JPM, V, BRK-B, REG, MA
EA, TTWO, JNJ, AMZN, AEP, ABT
PWR, DOV, EMR, GRMN, URI, VRSK
PLD, MCO, EOG, None, None, None
TTWO, GOOG, NOW, ABT, NVDA, EQIX
ESS, FRT, PLD, REG, PSA, EXR
PM, PEP, CL, T, PG, PPL
OMC, L, ITW, FRT, ETN, MAR
PCG, EIX, None, None, None, None
MKTX, CME, MCO, TYL, XOM, EQIX
PAYX, ADP, VRSK, USB, SRE, MA
SBAC, CCI, MCO, ARE, DLR, TFC
ZBH, MDT, BSX, TFX, UHS, MAR
DOC, PLD, KIM, UDR, CPT, PSA
STX, WDC, AMP, None, None, None
CHRW, EXPD, JBHT, None, None, None
IBM, ACN, CSCO, T, ORCL, LMT
O, DOC, FRT, REG, PSA, BAC
SMCI, LRCX, VMC, AMP, GOOGL, KEY
L, MCO, FRT, AEP, REG, DTE
FITB, RF, TFC, KEY, PNC, HBAN
MRK, JNJ, PFE, CB, INCY, UNH
PFE, JNJ, BRK-B, UNH, INCY, FRT
NWSA, NWS, NWSA, ED, TROW, LYB
IFF, LIN, PEP, BLK, DOC, XEL
AMAT, LRCX, MCHP, TER, QCOM, NVDA
AIG, CB, PFG, L, JNJ, SPG
VMC, ETN, ITW, SPG, RF, LIN
REGN, INCY, MRK, ABT, PFE, TMUS
PSX, VLO, COP, XOM, SLB, LYB
UNH, BRK-B, MSFT, ITW, AVB, INCY
MLM, VMC, ETN, TT, ECL, LYB
IVZ, TROW, BLK, AMP, WM, EXC
ECL, ED, WEC, LIN, AVY, IFF
SJM, PEP, CHD, KMB, TDG, LNT
ES, WEC, AEP, NEE, AWK, CMS
KMI, COP, DTE, RJF, MRO, EXC
STZ, BF-B, TAP, ECL, HLT, WELL
NOW, TYL, AMP, PTC, MA, MSFT
KMX, LOW, ED, F, ORLY, BXP
WELL, DOC, REG, O, EQR, DTE
TGT, WMT, HD, AFL, KR, BBWI
TECH, RVTY, CRL, WAT, IDXX, VRSK
MCO, EG, CME, D, RSG, EXC
AVY, BALL, ETN, BRO, APD, TFC
NI, CMS, ATO, ETR, DTE, EXC
BEN, TROW, IVZ, BLK, MA, CAT
PARA, JPM, PEP, DIS, CMCSA, RSG
MNST, PEP, CLX, SBUX, MA, TECH
NEE, LNT, SO, AEP, PEG, MSFT
MMC, AJG, BRO, BRK-B, SPGI, CMS
ED, WEC, DUK, SO, CMS, ATO
BBWI, SPG, ADP, CPRT, WY, DECK
CBRE, L, WM, ALL, ESS, HIG
K, GIS, SJM, CHD, MDLZ, HRL
FDX, UPS, EXPD, AVB, TFC, L
NFLX, AMZN, META, KIM, GOOG, MTB
UAL, DAL, LUV, RCL, None, None
EQIX, DLR, AMT, PLD, MCO, MA
BKR, SLB, KMI, MRO, DOV, KKR
ADSK, PTC, ADBE, GOOGL, SO, SNPS
