MMM, MMM, ITW, F, JNJ, BWA
PSA, EXR, PSA, O, MAA, DUK
ELV, CNC, ELV, UNH, CI, MOH
SWKS, TXN, SWKS, EBAY, AAPL, WDC
CRM, CRM, PFG, RF, LNT, PPL
EXPE, MGM, EXPE, MAR, NWS, EQR
CSCO, CSCO, GLW, WMT, BAC, IBM
EXR, EXR, MAA, ARE, BX, WEC
NEM, NEM, WEC, DTE, AIG, AMT
ANSS, RF, ROL, CL, PPL, ANSS
PG, PG, CL, CHD, NI, MDLZ
GIS, GIS, CPB, K, MDLZ, SJM
YUM, YUM, SBUX, MCD, NI, CNP
FANG, DVN, SLB, FANG, PRU, O
CMCSA, CMCSA, T, WBD, NWS, CHTR
VRSK, HBAN, VRSK, RF, NWSA, IPG
EXPD, EXPD, CHRW, F, CPRT, NWS
D, D, ED, DUK, DTE, JNPR
CRL, DOC, IQV, CRL, DTE, BAC
EMN, EMN, LYB, PPG, RF, BWA
CMS, CMS, LNT, ED, AEP, DTE
UDR, UDR, CPT, DOC, BXP, SO
TMO, PFE, PLD, WELL, MRK, KO
UNP, KEY, NSC, UNP, CHRW, IPG
CCI, CCI, SBAC, AEE, SO, CME
AXON, AES, MGM, CNP, AXON, GOOGL
HUM, PFE, DGX, HUM, HST, NI
ROST, TJX, ROST, CPRT, AMCR, RF
T, T, VZ, USB, AEE, WEC
NXPI, MCHP, ON, NXPI, TXN, WEC
AFL, AFL, MET, ACGL, PRU, PFG
EXC, EXC, AEE, SO, DTE, ETR
ABT, ABT, BAX, HBAN, PHM, JNJ
ODFL, HBAN, RF, ODFL, JBHT, KEY
GWW, FAST, GWW, NWS, CMCSA, GIS
KMB, KMB, CHD, MDLZ, CLX, T
ACN, HBAN, ACN, NWSA, GOOGL, BR
WAT, A, WAT, RVTY, NDAQ, KEY
AMT, CCI, AMT, UDR, SBAC, O
RSG, WM, RSG, PPL, KMI, KDP
NKE, NKE, TPR, SBUX, APH, BX
AMD, AES, NWS, NWSA, AMD, GOOGL
MSI, CPRT, MSI, WM, MMC, SYY
MGM, MGM, HST, LVS, NWS, LUV
LKQ, LKQ, F, NWS, CMS, EXC
NVDA, NVDA, AVGO, CPRT, APH, HST
KR, KR, WBA, TGT, AEP, CNP
MSCI, NDAQ, KEY, PCAR, T, SPGI
V, V, MA, BAC, EXC, PFE
ALL, ALL, PGR, HIG, AMCR, RF
HES, HES, DVN, CVX, EOG, OKE
HSIC, HSIC, BEN, WBA, UDR, KO
SCHW, KEY, HBAN, SCHW, IVZ, BAC
CLX, CHD, CLX, PEP, USB, MKC
MCD, MCD, O, PEP, KO, NI
AWK, AWK, CMS, ES, LNT, WEC
NDSN, NDSN, F, AME, NWSA, AMCR
AVB, UDR, AVB, CPT, ESS, BXP
BKNG, HST, EXPE, HLT, NWSA, LNT
LUV, LUV, DAL, AAL, IPG, BXP
F, F, BWA, BX, BBWI, LNT
AME, AME, AFL, KEY, ITW, NWSA
CMG, CMG, NVDA, FCX, GIS, NWSA
FDS, BRO, FDS, NDAQ, NWS, HBAN
ADBE, CSCO, NDAQ, RF, EXC, ADBE
GLW, GLW, AMCR, NWS, TXN, CMS
ULTA, HBAN, BBWI, YUM, KEY, BAC
SBUX, SBUX, AMCR, RF, NWSA, LVS
RCL, CCL, NCLH, RCL, PPL, MAR
KIM, KIM, REG, BXP, RF, DOC
JNJ, LNT, JNJ, CME, TFC, AIG
HUBB, KEY, RF, NRG, HUBB, EMR
HAL, HAL, SLB, BKR, DVN, FANG
DG, WMT, DG, DLTR, TGT, XEL
TRMB, TRMB, RVTY, T, BAC, APTV
AMZN, AMZN, USB, KEY, GOOG, BAC
CPAY, BEN, FI, CPAY, GPN, LVS
NUE, STLD, F, NUE, HBAN, KEY
CCL, CCL, DAL, C, AAL, LVS
TRGP, KMI, OKE, WMB, TRGP, MRO
STLD, STLD, HBAN, MOS, CBRE, AMCR
SNPS, CPRT, BAC, SNPS, AVGO, CMG
UPS, F, UPS, CHRW, RF, BX
VRSN, VRSN, CPRT, BR, AKAM, CVX
AIZ, AIZ, MAS, MET, PRU, PEG
JPM, BAC, JPM, C, HBAN, KEY
WAB, WAB, NWS, NI, HBAN, KEY
A, A, TECH, HPQ, RVTY, HBAN
WDC, STX, WDC, INTC, KEY, NRG
LEN, PHM, DHI, LEN, USB, ADM
MHK, MHK, KDP, GLW, IVZ, BXP
TRV, TRV, PGR, CPRT, HST, ACGL
CTAS, APH, CPRT, DTE, T, RF
TXT, TXT, CSX, KEY, NWSA, CMS
CSGP, CSGP, EXC, XEL, ROL, NWSA
STE, STE, BAX, EW, BR, KEY
PGR, ACGL, PGR, PHM, FITB, JPM
CME, CME, DOC, EQT, CL, STT
RMD, F, CNP, AEE, RMD, FTNT
BDX, COO, BDX, JNJ, HBAN, HSIC
CHD, CHD, MKC, PEP, DAL, KO
DD, DD, EMN, LYB, PPG, CE
GNRC, FCX, NEE, GOOGL, GNRC, MAS
WYNN, LVS, WYNN, NWS, HAL, ES
TYL, RF, DTE, NWSA, COO, EBAY
STT, BK, STT, BAC, HST, RF
TSN, TSN, NWS, NWSA, SYY, KIM
C, C, USB, IVZ, AAL, PNC
CVS, CVS, WBA, WMT, KEY, COR
NTAP, NTAP, HPQ, STX, NVDA, CSCO
JBHT, JBHT, CHRW, EXPD, RF, CPRT
LNT, AEP, LNT, AXP, EXPD, TRV
ON, ON, RF, TXN, CPT, UDR
EL, AMCR, RF, SBUX, BX, EL
IRM, IRM, KIM, XEL, MO, AEE
BRK-B, BRK-B, BK, PFE, JPM, MMC
DE, RF, MOS, DE, AMCR, STLD
TFC, HBAN, TFC, FITB, USB, RF
BAX, BAX, MKC, CMS, BDX, CHD
FSLR, CMG, NWS, NWSA, FSLR, NEE
AMP, PFG, MET, SCHW, FITB, AMP
CMI, PCAR, HBAN, CMI, ITW, CAT
CINF, CINF, USB, TRV, PPL, CMS
