FTNT, FTNT, HST, RF, CPRT, IPG
HAS, HAS, IVZ, F, OMC, LVS
AXP, KEY, T, AXP, FITB, NWSA
EA, EA, TTWO, EBAY, PEG, CPT
PWR, AES, PWR, F, NWS, ETN
PLD, PLD, IRM, ARE, CPT, EXR
TTWO, TTWO, AMCR, HBAN, NWSA, T
ESS, UDR, ESS, CPT, BXP, ED
PM, T, KO, PM, JNJ, PPL
OMC, OMC, USB, BWA, BXP, KO
PCG, PPL, PCG, ED, AEP, MCD
MKTX, XEL, CME, MKTX, BRO, LNT
PAYX, PAYX, ADP, CSX, L, HON
SBAC, SO, XEL, SBAC, BX, JNJ
ZBH, ZBH, F, COO, BAX, PFG
DOC, DOC, USB, PNW, DTE, CCI
STX, STX, HBAN, CSCO, NWS, NWSA
CHRW, CHRW, IVZ, F, BWA, RTX
IBM, IBM, T, KO, RJF, MO
O, DOC, O, REG, UDR, DTE
SMCI, XEL, CMS, CNP, ROL, KIM
L, L, HIG, HBAN, ACGL, MET
FITB, FITB, BAC, USB, PNC, IPG
MRK, MRK, PFE, VZ, JNJ, ROL
PFE, PFE, JNJ, VZ, DUK, CPT
NWSA, NWSA, NWS, IVZ, OMC, BEN
IFF, IFF, BEN, AMCR, PPG, PCAR
AMAT, AMAT, F, LRCX, KLAC, HBAN
AIG, AIG, MET, PFG, ACGL, TRV
VMC, VMC, MLM, RF, CVX, BBWI
REGN, GILD, INCY, MRK, ABBV, CL
PSX, PSX, VLO, MPC, KIM, RF
UNH, BAC, KIM, XEL, HUM, PFE
MLM, KEY, MAS, MLM, AME, PFE
IVZ, IVZ, BWA, IPG, AAL, PNC
ECL, ECL, WM, NWS, PPG, IFF
SJM, CPB, SJM, MKC, HST, EVRG
ES, ES, WEC, XEL, D, ED
KMI, KMI, OKE, DVN, EQT, XEL
STZ, BF-B, KO, AMCR, STZ, HBAN
NOW, CMG, NDAQ, WRB, APH, PARA
KMX, KMX, NWSA, F, NKE, TROW
WELL, DOC, WELL, UDR, O, KIM
TGT, TGT, BBWI, CHRW, BAC, WMT
TECH, TECH, NWSA, RF, WEC, NWS
MCO, SPGI, NDAQ, RF, MCO, CMS
AVY, AMCR, AVY, BRO, NWS, XEL
NI, NI, CMS, EXC, ATO, PNW
BEN, IVZ, BEN, HBAN, BWA, HST
PARA, WBD, PARA, OMC, GOOG, EQR
MNST, MNST, PEP, SBUX, FTNT, KO
NEE, HBAN, NEE, ES, SO, USB
MMC, MMC, CPRT, PFG, NWSA, NI
ED, LNT, ED, DUK, AEP, PNW
BBWI, BBWI, USB, SPG, POOL, MO
CBRE, CBRE, FITB, HST, BAC, IPG
K, K, CPB, HRL, MDLZ, SJM
FDX, IVZ, UPS, KEY, FDX, KIM
NFLX, HBAN, KIM, GOOG, GOOGL, GLW
UAL, DAL, AAL, UAL, RF, PHM
EQIX, HBAN, IRM, PLD, CCI, AMT
BKR, BKR, SLB, KMI, MRO, DVN
ADSK, PTC, ADSK, AMCR, ANSS, WRB
MSFT, CMG, GOOGL, NWSA, MSFT, KIM
J, J, KEY, CSX, IVZ, F
AAPL, AAPL, XEL, CMS, HPQ, KIM
EIX, PPL, EIX, PCG, ETR, ED
EPAM, RF, BX, RTX, LNT, DVN
DOV, DOV, NWSA, NWS, PNR, F
KO, KO, VZ, XEL, JNJ, O
DAL, AAL, DAL, IPG, KEY, C
PH, CNP, LNT, AME, ITW, APH
MDLZ, MDLZ, PEP, IVZ, HSY, KO
BF-B, BF-B, KO, PEP, RF, KDP
ARE, DOC, ARE, BXP, CPT, CCI
MCK, COR, MCK, T, MET, RSG
LOW, HD, LOW, FITB, NWSA, WY
META, GOOGL, APH, EXC, AFL, KEY
IDXX, NWS, NWSA, BAC, CPRT, AMCR
LULU, WMT, NKE, FCX, HRL, LULU
DUK, LNT, DUK, AEP, PNW, F
NOC, T, MOS, FITB, AMCR, KR
VLO, VLO, COP, CVX, HBAN, STLD
CSX, CSX, NSC, UNP, PCAR, HBAN
APTV, BWA, APTV, GM, AMCR, PPL
HON, HON, HBAN, RTX, MMM, F
DPZ, KDP, RF, KIM, IPG, F
INCY, INCY, None, None, None, None
WTW, MMC, WTW, IVZ, APH, LNT
EFX, EFX, HBAN, T, MET, SNA
HPQ, HPQ, STX, TEL, BBY, TRMB
AKAM, AKAM, HBAN, BRO, KEY, EBAY
WEC, CMS, LNT, WEC, ED, SO
ALB, BAC, CMG, FCX, ALB, CF
ALGN, BAC, KEY, CMS, CINF, ROL
MRO, MRO, DVN, OXY, COP, EOG
VTRS, VTRS, KIM, GILD, IVZ, INCY
TXN, TXN, NWSA, CSX, CMS, EA
ISRG, BSX, IPG, CSX, CPRT, EW
EW, EW, F, ABT, DOC, CPRT
OXY, OXY, DVN, OKE, EOG, SLB
EMR, EMR, OKE, AME, PRU, ROK
XYL, XYL, PNR, JCI, AMCR, EXC
BAC, BAC, C, USB, PNC, KO
PRU, MET, PRU, PFG, WFC, C
EG, MET, F, KIM, EG, PNW
TFX, BAX, NWSA, TFX, DAL, FIS
SNA, SNA, HBAN, SWK, KIM, MET
SPG, KIM, SPG, ED, FRT, REG
GOOGL, GOOG, GOOGL, NI, T, MMC
ALLE, ALLE, MAS, JCI, XYL, FE
CVX, CVX, OXY, EOG, DVN, T
OKE, OKE, CNP, DVN, SLB, BAC
BRO, BRO, AJG, MMC, KEY, PHM
WFC, BAC, WFC, USB, C, FITB
MAS, MAS, AOS, PHM, DHI, SHW
IT, IRM, RF, IT, APH, CPRT
TAP, TAP, KO, BF-B, STZ, LYB
ITW, ITW, PPG, BWA, CHRW, GM
AZO, GPC, NI, IPG, MMC, ORLY
CF, CF, EQT, BAC, HBAN, CNP
IQV, IQV, WRB, BAC, RVTY, TFC
COF, BAC, COF, FITB, AXP, GOOGL
RJF, RJF, SCHW, KEY, HBAN, RF
PPL, PPL, EXC, AEP, D, PNW
AEP, AEP, CME, MPC, EMR, GILD
ADI, MCHP, NWSA, NWS, ADI, TXN
MOH, CNC, MOH, IRM, CNP, CMG
JCI, JCI, CPRT, T, AMCR, IEX
HOLX, HOLX, COO, DGX, IVZ, BDX
TSCO, TSCO, RF, DG, APH, TGT
MAR, HST, MGM, HBAN, MAR, RF
TMUS, TMUS, VZ, T, KDP, KIM
ZTS, ZTS, F, SO, CSX, FTNT
PEP, KO, PEP, XEL, JNJ, WEC
POOL, BX, NWS, XEL, POOL, CTRA
JNPR, JNPR, CSCO, FFIV, IPG, DVN
VZ, VZ, USB, XEL, AEP, D
AOS, AOS, PCAR, ES, SWK, PHM
MCHP, MCHP, ON, TXN, UDR, WRB
FIS, FIS, FI, GPN, HST, CMCSA
MKC, MKC, MDLZ, KO, BALL, BF-B
FRT, KIM, REG, FRT, O, BXP
FE, FE, EXC, AEP, D, PNW
REG, REG, DOC, BXP, UDR, AVB
MAA, CPT, UDR, MAA, XEL, ARE
BLK, IVZ, BEN, BX, XEL, BLK
GL, GL, PFG, HBAN, HIG, PRU
ACGL, ACGL, EG, BG, SO, BEN
ETN, ETN, WY, EMR, TT, AMCR
PODD, DXCM, F, KEY, CNP, EW
TJX, TJX, KIM, TPR, BBWI, REG
CE, EMN, CE, LYB, RF, PPG
AES, AES, CNP, PEG, F, NWSA
GEN, GEN, LNT, KMI, RF, AKAM
CHTR, T, USB, AFL, PM, CHTR
ENPH, NEE, BRO, RF, CNP, VZ
GM, F, GM, BWA, LUV, C
MO, MO, PM, KO, UDR, DUK
NRG, AES, NRG, EXC, AMCR, PEG
GPC, LKQ, GPC, RF, MET, NWS
RF, RF, FITB, BAC, WFC, PNC
CBOE, CBOE, CME, KDP, REG, O
MPC, VLO, MPC, PCAR, XOM, CMS
HRL, HRL, CPB, MKC, TSN, WEC
APH, APH, TEL, GLW, PCAR, HBAN
DFS, COF, DFS, KEY, T, APH
TROW, BEN, TROW, BAC, NDAQ, F
DHI, PHM, DHI, APH, IPG, T
WRB, WRB, NWS, BRO, AES, NWSA
AEE, AEE, LNT, CMS, WEC, XEL
NCLH, CCL, NCLH, None, None, None
SO, SO, LNT, DUK, AEP, ED
HST, HST, HBAN, CCL, KIM, FRT
CB, TRV, CB, AIG, ACGL, FITB
CTRA, CTRA, EQT, UDR, GOOG, CE
ADM, ADM, BG, MOS, GILD, APH
AAL, AAL, BWA, BXP, FITB, IPG
AJG, MMC, AJG, ACGL, PGR, WRB
SWK, SWK, CMCSA, ITW, AMCR, MMM
DVN, CTRA, DVN, SLB, FCX, CF
NDAQ, NDAQ, ICE, BRO, EW, BAC
BK, BK, BAC, KEY, IVZ, TFC
NTRS, BK, NTRS, BAC, STT, AMCR
CTSH, CTSH, NWS, ACN, NWSA, USB
TEL, TEL, F, GLW, HBAN, NWS
CAH, CAH, COR, MCK, OMC, BWA
IP, IP, PKG, GM, KMI, PRU
COR, COR, WBA, HSIC, HBAN, KEY
DXCM, F, ABT, DXCM, T, XEL
CDNS, CDNS, SNPS, NDAQ, GEN, IPG
TPR, TPR, F, BBWI, LVS, BBY
ROP, HBAN, EXC, AME, CPRT, FITB
PTC, PTC, GLW, CINF, CSX, EXC
SHW, PPG, PHM, HBAN, SHW, GM
BIO, TECH, UDR, IVZ, MAS, RF
BX, BX, LNT, NWS, CME, PNW
DGX, DGX, NWS, T, NWSA, APH
BIIB, NWS, GILD, BMY, NWSA, INCY
HII, HII, PCAR, LMT, NOC, USB
VRTX, MRK, VRTX, GILD, INCY, CNC
DLR, DLR, HIG, CCI, O, DOC
DIS, CMCSA, DIS, PARA, NWS, HBAN
MDT, MDT, BSX, O, BAX, ZBH
COP, COP, DVN, CVX, EOG, HES
PEG, PEG, EXC, DTE, ED, ETR
LDOS, LDOS, KEY, CPRT, NWS, D
LHX, LHX, LMT, NOC, UDR, HII
QCOM, QCOM, NWS, AVGO, SWKS, MCHP
NWS, NWSA, NWS, RF, HBAN, SLB
TDG, OKE, HST, DOC, RF, USB
LVS, LVS, BWA, C, NWSA, CNP
FCX, FCX, NEM, F, MOS, NWS
AMCR, AMCR, EXC, PPG, FITB, KEY
DRI, RF, DRI, SYY, YUM, LUV
PPG, PPG, BWA, KO, OMC, BEN
LMT, NOC, KO, LMT, WM, KEY
ROL, ROL, NWS, CPRT, KEY, XEL
VTR, DOC, VTR, WELL, AMCR, WMB
GE, GE, WAB, C, HST, PRU
CAG, CAG, CPB, K, NWSA, SJM
DVA, DVA, F, NWS, EW, HCA
SRE, CNP, SRE, EIX, DTE, SO
BLDR, PHM, HBAN, MAS, BLDR, NWS
HLT, MAR, HST, HLT, LYV, YUM
WY, WY, F, O, IVZ, C
CPB, CPB, MDLZ, MKC, KMB, HSY
JKHY, FI, JKHY, CMS, DTE, ATO
CDW, CSCO, CDW, HPQ, CNP, SBUX
CL, CL, KMB, CHD, PEP, MDLZ
BALL, BALL, ES, ED, CNP, KO
TER, F, TER, MCHP, GLW, EW
MOS, MOS, CF, EQT, FITB, RF
RVTY, RVTY, NWSA, TMO, PFE, LH
WMB, KMI, WMB, OKE, APA, KIM
FMC, FMC, MOS, CF, T, DD
URI, RF, WRB, FITB, NWS, STLD
IEX, CSX, AME, IEX, ITW, XEL
WBA, WBA, IVZ, BWA, AAL, JNJ
MPWR, NVDA, ON, CPRT, HBAN, RF
MTD, T, RVTY, AMCR, XEL, PG
SLB, CTRA, SLB, LYB, FCX, LVS
WST, CMS, WRB, ROL, EW, KIM
GD, GD, PPL, DHI, HII, NOC
ATO, ATO, CMS, LNT, PNW, ED
BBY, BBY, RF, GM, AMCR, TSCO
LYB, AMCR, LYB, BEN, BAC, NWSA
ADP, ADP, MMC, AEP, PCAR, RTX
HD, F, MAS, KEY, HD, CMS
BMY, BMY, PFE, ABBV, GILD, INCY
AVGO, AVGO, RF, LNT, NDAQ, KEY
APD, APD, LIN, MRK, PFE, GEN
HSY, PEP, HSY, T, CMG, KO
LIN, KO, LIN, FCX, NWS, PPG
MU, MU, WDC, TER, RF, AVGO
COO, COO, NWS, HSIC, DOC, SBUX
EVRG, EVRG, SO, LNT, ES, ETR
EQT, EQT, USB, IRM, KIM, TFC
HIG, HIG, AIG, NWS, NWSA, ACGL
PNC, USB, PNC, BX, RF, CME
HBAN, HBAN, RF, FITB, USB, FI
INTU, CNP, NRG, KDP, KO, F
TDY, CSX, T, MAS, TDY, CL
BG, BG, MOS, KEY, NI, USB
DLTR, WMT, RF, DLTR, TGT, DOC
PNR, PNR, PHM, IVZ, WRB, IEX
RTX, RTX, HBAN, GD, KO, PCAR
CPRT, CPRT, NWSA, EXC, IPG, BX
USB, USB, BX, DTE, JNJ, CME
DECK, CPRT, AES, AFL, WRB, NWSA
FAST, FAST, AME, LNT, EXPD, GL
ORLY, CPRT, T, DOC, NWSA, ROL
GILD, GILD, PFE, INCY, JNJ, IVZ
CAT, RF, PCAR, KEY, FCX, BAC
IPG, IPG, OMC, USB, KIM, PNC
BSX, BSX, EW, ABT, ZBH, ES
ORCL, ORCL, WRB, F, PHM, KEY
GPN, NWSA, FI, NWS, GPN, CMS
NVR, PHM, DHI, KEY, O, NWSA
BA, BAC, NWS, UAL, NWSA, BA
UHS, UHS, HCA, HBAN, T, HST
FI, FI, KEY, HBAN, MRK, RF
PCAR, PCAR, HBAN, F, ITW, WRB
KKR, KKR, BX, RF, NRG, MET
DHR, DHR, TMO, A, BAC, PFE
NSC, KO, BWA, NSC, OMC, USB
ZBRA, NWSA, NWS, RF, LNT, F
SYK, BSX, SYK, ZBH, WELL, EW
ETR, ETR, SO, LNT, PNW, CMS
KEY, HBAN, KEY, RF, FITB, C
LLY, APH, MRK, KDP, EMR, KKR
COST, WMT, KR, BAC, KEY, BRO
INTC, INTC, TXN, RF, GLW, APH
XEL, XEL, CMS, LNT, WEC, AEP
BWA, BWA, USB, DUK, CNP, FITB
EQR, UDR, EQR, AVB, ESS, OKE
WM, F, WM, WMT, IVZ, XEL
WBD, T, WBD, OMC, HIG, BWA
AMGN, HBAN, AMGN, HST, AMCR, GILD
RL, TPR, RF, RL, HBAN, DOV
MS, MS, GS, KIM, T, BAC
MET, MET, PFG, RF, USB, FITB
KDP, KDP, PEP, DTE, XEL, IVZ
CNP, CNP, NI, PPL, EXC, DTE
CI, CNC, CI, BK, UNH, HST
PKG, PKG, BALL, LYB, NUE, NWSA
KLAC, ON, TXN, AES, GM, WDC
GRMN, GRMN, NWS, CPRT, NWSA, ROL
ROK, AME, ROK, ITW, KMI, GIS
APA, MRO, APA, DVN, OXY, KMI
EOG, DVN, EOG, HAL, FANG, SLB
CNC, CNC, KEY, NI, UNH, DGX
TSLA, RF, AAPL, DOC, F, CSX
XOM, XOM, CVX, COP, OXY, HES
WMT, WMT, KR, XEL, AEE, TGT
MTB, HBAN, RF, USB, FITB, MTB
PANW, FTNT, CSCO, WMT, KIM, CPRT
AON, MMC, AJG, AON, UDR, WTW
EBAY, EBAY, NWS, KEY, MDLZ, RF
SYY, HST, AMCR, SYY, KO, NWS
LH, DGX, LH, AMCR, CMG, NWSA
BR, BR, BEN, KEY, LNT, IVZ
FICO, RF, NI, LNT, NEE, HBAN
JBL, JBL, CMG, AEE, NEE, CMS
GS, BAC, HBAN, C, WFC, NWSA
HCA, FITB, HCA, CNC, CMS, BEN
LYV, MGM, LYV, KIM, NWSA, UDR
BXP, DOC, BXP, USB, PNC, PNW
CPT, DOC, CPT, BXP, EVRG, CCI
PNW, LNT, PNW, AEP, KEY, CME
MTCH, MTCH, HST, WFC, MGM, GEN
LRCX, TER, KLAC, MU, NI, HBAN
MA, FI, KEY, HBAN, CPRT, GPN
