0,1,7
3,7,1
3,7,2
9,1,7
2,7,5
9,5,7
2,7,5
4,3,7
1,0,7
1,0,7
5,2,0
2,11,7
2,5,7
5,3,7
5,1,7
5,7,1
7,2,0
2,0,7
1,7,3
11,1,7
1,5,7
5,7,0
0,7,11
1,11,0
7,1,2
0,1,7
2,1,3
7,2,1
7,1,5
2,1,7
3,2,7
1,11,7
5,3,7
2,7,1
1,11,7
1,0,7
0,7,1
5,7,1
5,7,1
5,7,2
8,2,5
11,1,7
7,5,0
5,2,7
1,7,11
1,11,7
7,8,11
0,1,7
1,7,0
3,0,7
1,0,2
2,11,7
4,7,1
2,11,7
11,1,7
9,1,7
9,1,7
7,2,3
2,3,7
11,10,7
10,4,1
4,5,1
10,1,7
3,9,5
11,3,2
10,11,7
2,0,11
1,11,7
7,0,2
1,7,11
7,1,11
5,7,11
2,1,5
0,1,11
7,2,0
11,1,0
7,1,3
2,7,3
11,1,3
5,2,3
1,2,0
7,11,0
7,3,1
7,1,2
1,11,7
2,1,0
0,3,1
1,7,0
9,1,7
7,1,11
0,7,1
3,7,11
0,3,1
0,3,1
1,7,2
0,1,2
3,7,2
9,3,1
2,11,3
1,4,3
3,7,11
11,1,7
1,3,7
4,7,1
11,3,7
9,7,1
1,3,7
1,9,7
9,1,7
5,7,1
1,3,7
1,5,7
4,1,7
3,4,0
0,3,11
1,2,3
7,2,1
7,2,1
0,1,7
1,3,2
3,1,2
11,1,2
2,1,3
1,2,3
10,1,3
5,3,1
4,7,1
5,1,3
7,1,3
5,3,7
5,2,3
5,1,7
11,1,3
2,1,0
1,2,3
2,1,3
2,1,3
7,3,1
4,1,7
5,1,7
1,3,7
3,2,6
1,3,11
7,5,3
0,1,5
5,3,7
9,1,7
2,11,1
5,2,1
1,2,3
5,3,1
3,0,5
7,3,1
3,1,0
5,1,7
0,1,5
7,3,1
7,5,1
7,3,1
5,7,1
4,7,1
7,0,1
7,1,3
7,2,3
1,2,5
7,3,1
5,7,1
5,3,1
2,3,1
0,4,1
11,1,3
4,1,3
7,11,1
11,7,3
7,4,1
3,1,11
5,3,7
11,3,7
11,3,1
3,5,1
4,3,7
7,1,3
6,7,3
2,1,3
4,7,3
1,7,0
5,7,1
3,7,11
9,3,4
3,8,1
1,11,7
5,1,3
0,4,5
4,7,11
4,3,11
0,1,5
11,3,7
4,1,3
4,3,7
1,0,3
4,1,3
4,3,7
0,3,1
5,3,1
0,2,3
4,1,3
2,3,5
5,3,4
2,5,3
10,11,3
3,4,1
4,3,5
2,5,3
4,0,3
1,3,4
10,3,4
4,1,3
10,5,3
1,2,3
1,10,2
1,2,3
11,2,1
1,3,2
1,3,2
4,1,3
5,1,3
4,3,5
5,2,3
1,2,3
10,11,3
5,1,3
2,3,11
11,1,3
3,1,2
1,3,11
1,2,3
4,3,5
4,11,3
1,4,3
5,3,1
3,1,5
4,2,1
8,1,3
1,3,5
1,3,5
4,3,2
0,4,3
4,10,3
5,1,3
10,5,3
2,10,0
