PARA,KIM,WBD,MRO
PCG,TRGP,WMB,IP
TPR,AVB,TYL,PCG
GE,PCG,OXY,FCX
TPR,BBY,SWK,FICO
TRGP,EQT,CAH,SCHW
BA,ENPH,PHM,APA
ZTS,AXON,TPR,LYV
TSLA,VMC,FRT,TXT
DFS,NXPI,AMAT,KMX
SYY,HAL,BBWI,KEY
PRU,EQT,DFS,AAL
AAL,ALGN,WYNN,KKR
TER,MGM,MKC,AMAT
CRM,DVN,IPG,FFIV
OMC,AAL,GM,FCX
WDC,RCL,LVS,CINF
AAL,RCL,MGM,UHS
EQT,EG,KMI,ENPH
FCX,CCL,BA,AAL
FCX,UDR,MTB,LOW
MKTX,AXON,TFC,APA
TRGP,AAL,DRI,CCL
CCL,OXY,WYNN,F
HOLX,FI,ALGN,TRGP
PHM,ISRG,WYNN,ULTA
DG,VTR,MTCH,BAX
AAL,HBAN,FITB,REG
TRMB,CCL,MS,VTR
AXP,DIS,MRO,VTR
CRL,IQV,SBUX,IT
PARA,TRGP,META,TPR
HLT,KEY,TRV,IQV
MU,WYNN,ELV,MPC
PCG,UAL,ENPH,EPAM
META,BBWI,PARA,KIM
CF,NCLH,TRGP,DVA
TRGP,ELV,MKTX,TT
GNRC,MGM,NXPI,WMB
NVDA,NEM,TSLA,WEC
APA,BA,TPR,FIS
IT,SYY,SLB,KEY
ENPH,PODD,WYNN,EQT
PARA,WBD,MTCH,LYV
PAYX,POOL,REG,EA
PANW,RL,BIIB,LKQ
MHK,TRGP,BBWI,TFX
SWK,LYV,SPG,DFS
TSLA,TTWO,NVDA,NXPI
UAL,CCL,DFS,BBWI
TSLA,TPR,RTX,FSLR
ALGN,DLR,CPAY,TSLA
MRO,RCL,HST,ENPH
TRGP,APA,MTCH,KIM
QCOM,VMC,DPZ,TPR
NVDA,WBD,MGM,HOLX
LKQ,GM,MGM,AAL
PCG,PHM,NTAP,PARA
UDR,CCL,GE,KEY
BBWI,NCLH,DG,MGM
BKNG,MOH,WYNN,CNP
FCX,PEG,REG,PHM
HES,ENPH,FANG,DRI
NCLH,HAL,DFS,AAL
NVDA,APA,TXT,MET
CVS,TPR,STLD,VLO
FCX,CVX,DOC,AAL
CCL,UAL,JPM,SBUX
CTRA,ENPH,BLDR,UAL
ALGN,SLB,FCX,NCLH
EQT,MGM,CF,MCK
AAL,NCLH,TPR,APA
CNP,GM,VLO,SRE
GNRC,PHM,HPQ,MGM
ENPH,VTR,TPR,MGM
NCLH,ALGN,WY,KIM
TFC,CBOE,MGM,WBD
VTR,UAL,LUV,ENPH
TPR,WMB,WYNN,MPWR
APA,MOS,NCLH,MGM
APA,NCLH,FANG,PSX
EQT,MPWR,DXCM,FCX
BK,INTC,BAX,DPZ
VRSK,BBWI,MPWR,PARA
J,GRMN,AAL,GILD
AMGN,GE,LYB,MHK
SLB,EQT,PRU,AMD
LVS,SWK,LYV,VZ
MTCH,REG,WDC,CMG
MPC,SMCI,AAL,WYNN
ENPH,TPR,NCLH,USB
DVA,DFS,AWK,IP
APTV,CCL,PCG,VRSN
CBRE,EQT,FCX,ROST
EPAM,SPGI,PARA,SBAC
DOC,EQT,MAA,ED
ALGN,DXCM,DHR,BA
DOC,CTAS,BK,CPRT
NVDA,EQT,FTNT,WBD
FIS,MKTX,TRGP,APA
LVS,QCOM,TRMB,FANG
ENPH,TRGP,DVN,NWSA
SWKS,BA,AFL,IFF
CCL,MGM,BKNG,WYNN
AXP,CCL,NCLH,RCL
D,HES,APA,DTE
WELL,KEY,TRGP,BG
LVS,RCL,DAL,AMD
PCG,NCLH,BIIB,BAX
BLDR,IQV,ELV,TSLA
RL,WYNN,PODD,KEY
PCG,META,OXY,HST
APA,DAL,TRGP,VLO
VTRS,SWK,TRGP,CSX
AMD,ENPH,PCG,BKR
MHK,MGM,AXON,BLDR
MOS,COF,ENPH,PCG
CNP,HES,EOG,MRO
MHK,EQT,CI,KMX
KMX,HAL,APA,PWR
MGM,PODD,MOS,ENPH
STLD,LKQ,MPC,PARA
ALGN,WYNN,LVS,PARA
HST,VTR,TRGP,OKE
SLB,CVX,CMG,TRGP
WYNN,MGM,RCL,CCL
PCG,APA,MET,RF
ECL,ENPH,TSLA,SO
CBRE,VTR,HCA,TRV
GPN,FANG,BA,ISRG
BLDR,WMB,CVX,BKR
CNC,EQT,WBD,OXY
