LVS,IVZ,INTC,UDR
FI,JPM,VRSK,NWSA
WYNN,CCL,ALGN,BKNG
SPG,MTCH,MOH,MHK
HBAN,RCL,TRV,TAP
TRMB,SYY,OKE,XOM
MRO,OMC,BA,HBAN
PSX,MOS,LEN,UAL
TRGP,NCLH,MRO,WBD
WYNN,ORLY,PODD,TSCO
CCL,WYNN,NCLH,ENPH
V,DFS,EPAM,PCG
FICO,TRMB,OMC,C
SPG,WBD,APA,CF
WMB,COF,TRGP,MKTX
SPG,HAL,WMB,FCX
WYNN,TPR,EOG,ULTA
NCLH,AMP,FITB,CVX
BWA,ALGN,DVA,CVS
UAL,FRT,OXY,ENPH
NCLH,SPG,COF,IRM
MTCH,TRGP,TPR,SPG
WYNN,FI,KEY,VTR
APA,MHK,BWA,BBWI
WYNN,DFS,KEY,LVS
DLR,TTWO,NXPI,TYL
MRO,RCL,FANG,OXY
CPAY,TPR,KEY,TDY
UAL,COF,DLR,IRM
ENPH,ALGN,MHK,AAL
ADBE,MOH,SPG,AZO
DFS,QCOM,NVDA,UAL
MU,APA,WMB,CCL
SPG,NCLH,AAL,BBWI
RVTY,ALGN,NTAP,DECK
DRI,CCL,HAS,SWKS
AAL,NCLH,MOS,BBWI
MU,TPR,MKTX,GPN
MGM,HAS,LEN,WYNN
SPG,NCLH,WY,LYB
MHK,NCLH,ENPH,DFS
QCOM,AMT,INTC,CI
EXPE,MKTX,AIZ,ULTA
UHS,DOC,ZBH,PNR
UAL,DFS,WYNN,CCL
ENPH,MHK,AAL,TER
WDC,ALGN,COF,SPG
TDG,RCL,EXPE,SYY
CVX,SPG,EMN,BA
WBA,UAL,SPG,PWR
PHM,LEN,NVR,HPQ
NXPI,MU,VTR,EPAM
WY,ALGN,PWR,REG
MU,SPG,TSLA,YUM
FANG,EMN,MHK,COP
DD,O,SWK,WYNN
RCL,NCLH,CCL,MOS
MHK,EMN,TFX,AAL
NVR,FMC,HLT,DXCM
DVA,QCOM,INTC,CINF
OMC,MOS,HAL,DFS
CNP,ACGL,EG,HES
UDR,AVB,CPAY,AXON
TRGP,WDC,SCHW,OKE
DXCM,APA,BLDR,INCY
AVB,MTCH,SPG,REG
CPAY,AAL,KMX,TPR
USB,MHK,NCLH,CPAY
PWR,ROK,AAL,PHM
CCL,BBWI,EMR,URI
PHM,ULTA,LEN,MHK
NCLH,SPGI,TFC,AMP
HAS,AVY,MAS,CBRE
AAL,DXCM,TPR,IQV
DOC,UDR,MMC,DVA
SPG,NCLH,O,HII
SYK,TRGP,NCLH,WMB
ZTS,EXR,CMG,MHK
NCLH,AAL,NWSA,BBWI
WYNN,PCG,EVRG,SYK
BKNG,MGM,CCL,BA
AAL,WMB,AMP,GPC
NVR,APA,SYY,OXY
NCLH,AAL,CCL,PSX
ENPH,NXPI,WBA,CMG
RCL,LYV,JNJ,STE
BLDR,IQV,WTW,HUM
TSLA,IRM,RCL,FMC
MGM,CVX,NCLH,BWA
APA,UAL,CCL,CMG
MRO,TRGP,APA,HES
DFS,SLB,TRGP,HAL
