26,64,87,78
55,26,51,90
70,55,37,89
7,64,14,26
55,78,14,80
37,70,82,64
46,26,90,64
36,55,64,7
55,64,70,78
55,37,78,64
89,37,70,55
13,87,97,34
70,42,55,13
70,64,87,7
46,64,14,42
70,55,64,42
14,64,37,42
87,14,61,7
55,14,64,87
70,55,61,37
7,67,87,14
4,44,79,14
70,37,67,55
44,4,37,57
64,7,14,57
89,64,18,51
64,55,87,14
7,18,14,70
14,46,28,13
14,7,23,55
64,18,46,51
55,28,23,14
14,7,6,65
88,18,64,67
18,64,67,87
70,7,67,64
14,87,18,82
51,46,70,88
11,14,67,37
14,67,87,11
87,7,55,2
18,88,82,2
11,88,18,70
87,88,30,64
82,23,64,13
82,51,28,14
82,3,23,55
14,37,11,79
82,11,14,74
55,70,87,64
64,82,37,11
13,74,70,18
64,88,11,46
46,30,0,7
70,6,11,18
55,11,69,84
55,6,11,51
13,82,27,70
74,44,6,88
55,11,69,88
55,11,4,65
4,82,11,84
67,13,64,46
46,84,11,64
88,18,46,84
11,88,4,84
92,74,55,3
13,89,27,6
65,11,13,73
18,88,13,84
84,88,87,10
13,87,84,65
13,73,64,87
51,46,2,64
84,55,0,27
64,70,7,88
87,88,65,37
82,70,88,37
37,70,65,88
55,14,2,6
87,64,70,14
73,84,37,88
70,73,88,37
88,84,73,82
88,70,82,64
73,88,46,13
51,7,88,6
88,84,92,64
84,67,87,46
7,14,87,82
88,44,73,0
88,13,55,70
13,88,10,2
74,88,67,42
79,88,13,84
84,65,78,88
65,84,42,70
84,70,65,3
36,84,92,27
70,84,78,92
13,92,70,87
82,84,88,31
70,92,3,88
64,70,84,88
65,13,84,3
65,6,70,84
0,87,14,27
88,89,84,79
88,84,79,92
88,42,65,3
92,27,57,3
6,92,88,70
88,65,18,84
88,64,18,61
6,84,46,70
70,13,81,87
84,11,82,6
88,0,92,70
92,88,84,87
64,92,70,59
59,64,27,84
70,64,42,46
82,88,57,84
84,70,13,88
13,84,57,88
64,13,42,10
3,88,13,84
88,92,70,2
88,13,82,70
3,0,88,87
3,92,84,70
84,65,55,3
84,3,82,36
3,13,10,57
3,57,10,74
13,79,88,35
42,65,92,64
55,10,13,82
10,88,2,3
10,27,64,36
82,36,74,2
65,67,61,89
64,18,84,88
64,65,84,3
92,26,84,11
92,84,64,10
84,87,36,79
84,13,65,3
14,46,64,10
46,10,76,59
10,61,64,42
14,61,46,10
79,59,10,82
10,14,67,64
55,88,46,14
64,2,67,69
76,74,79,46
64,10,84,3
13,55,64,14
12,70,2,69
55,76,2,13
64,14,2,69
55,7,14,79
51,10,88,92
3,69,88,79
85,92,10,80
78,65,69,20
84,10,55,76
88,7,10,76
55,65,13,70
3,65,14,67
67,14,82,51
10,79,80,94
10,11,36,76
10,69,64,76
51,14,74,94
42,10,69,14
76,10,80,14
69,65,10,88
69,13,10,70
10,22,2,46
10,64,46,88
10,55,14,13
13,10,7,35
67,69,13,10
67,10,13,7
55,7,35,88
55,13,10,88
55,65,88,69
10,67,0,82
69,88,82,70
69,2,11,67
79,90,89,69
64,10,14,11
6,67,51,69
0,8,94,45
10,11,64,54
10,13,14,24
74,69,90,2
13,0,54,87
65,7,76,2
14,55,69,24
67,13,64,18
14,10,2,51
20,55,54,87
65,10,82,35
69,65,2,24
82,55,10,35
11,2,6,18
51,6,2,65
11,45,68,25
7,80,10,46
86,22,64,69
7,49,2,18
18,55,65,53
18,82,2,6
18,74,69,12
18,11,52,12
11,79,18,43
68,64,37,53
76,82,88,11
3,18,2,86
46,76,86,23
88,76,82,46
35,53,7,2
79,42,18,13
25,11,18,3
18,11,64,70
18,11,37,87
64,7,14,3
64,86,69,11
35,18,46,2
42,55,64,88
18,37,76,64
55,88,2,14
86,70,55,64
69,80,64,11
80,53,60,49
11,64,52,43
88,79,2,37
80,64,88,37
14,6,37,88
64,46,70,67
2,42,18,67
55,64,2,12
67,64,2,40
64,18,67,59
11,67,64,37
64,53,79,67
67,11,76,63
67,0,2,76
67,42,2,35
64,42,84,95
42,64,55,2
95,11,2,35
64,55,42,35
11,42,37,64
37,0,67,55
0,67,11,55
11,67,14,59
49,67,68,11
11,24,88,73
69,11,55,6
67,6,18,11
35,67,42,88
55,67,11,68
67,88,11,64
64,67,37,13
67,88,20,37
64,37,55,54
14,11,67,13
13,18,2,64
37,51,70,14
68,11,67,88
67,82,51,14
51,42,46,70
67,51,37,11
68,51,15,60
37,11,64,51
14,11,37,51
15,67,51,11
51,37,67,88
37,6,51,14
14,51,64,37
70,44,78,4
14,51,59,65
14,4,67,87
7,64,51,42
55,51,65,59
25,51,52,62
64,55,12,59
64,12,7,11
64,7,44,78
7,37,64,87
64,51,87,49
51,24,88,49
67,32,70,87
44,15,64,51
44,7,70,64
7,44,51,87
87,12,65,51
14,2,87,36
3,7,51,20
55,87,53,3
59,87,14,3
51,88,14,46
64,88,51,65
51,44,70,87
26,59,55,87
51,88,13,62
87,55,51,12
51,87,44,2
20,44,55,59
82,61,30,59
64,44,67,51
88,55,70,87
44,88,51,2
7,64,44,70
7,87,44,70
67,44,51,2
51,86,69,87
7,87,70,54
59,87,44,70
26,78,14,67
55,70,87,7
64,87,14,65
18,55,87,54
64,87,65,51
55,70,44,59
46,64,26,87
64,55,46,26
55,87,14,26
51,64,57,4
46,87,13,62
87,55,46,13
46,35,13,51
46,88,55,62
13,70,51,88
55,87,46,13
67,46,88,51
55,35,13,12
51,30,65,46
64,78,51,82
87,78,64,55
64,82,55,87
64,51,82,78
64,65,67,51
46,55,87,61
64,46,65,12
64,55,35,46
54,87,55,80
64,14,59,87
14,64,46,42
64,55,35,82
64,70,55,61
70,20,64,55
64,55,87,46
87,42,88,55
55,64,13,26
65,12,64,78
46,64,55,78
26,46,87,12
13,51,26,42
44,0,55,51
88,37,70,64
88,13,46,82
13,50,46,42
50,88,13,74
55,87,50,42
87,88,51,12
70,87,51,43
70,65,87,79
87,78,64,70
55,87,84,78
84,87,51,78
51,87,78,79
70,87,55,42
51,67,44,78
67,55,70,78
31,61,87,70
88,65,35,13
55,82,78,13
55,87,70,88
46,55,61,14
46,65,55,79
65,13,55,50
87,14,51,54
44,55,50,87
87,55,13,44
7,35,42,87
87,74,13,10
50,87,70,67
55,46,87,13
55,50,64,88
64,55,70,35
64,87,55,44
87,64,55,44
55,87,64,70
87,7,88,64
46,87,88,26
92,84,87,54
42,87,64,46
55,88,87,12
82,55,61,59
88,55,46,13
55,88,26,46
88,13,55,67
55,87,7,27
88,55,87,42
82,55,88,79
13,51,54,88
6,88,55,65
55,87,65,7
67,87,65,79
87,65,88,84
57,55,88,87
54,8,87,70
46,87,55,89
55,42,84,14
65,51,87,55
65,55,88,82
51,55,88,87
55,88,87,46
89,20,55,87
46,65,14,87
20,87,44,14
55,65,13,87
44,55,13,87
55,14,67,87
35,13,44,87
14,87,13,46
35,55,14,87
55,87,65,13
87,14,13,20
55,87,45,88
13,87,57,82
87,46,70,59
82,14,87,51
55,54,87,46
87,67,13,45
14,55,87,70
14,87,65,45
13,14,46,87
87,51,55,73
46,64,87,7
14,7,46,87
87,82,44,65
87,14,65,70
64,45,27,57
59,14,46,87
54,51,46,14
90,14,87,54
14,65,51,45
55,14,64,87
14,55,27,82
82,46,14,55
55,82,46,14
88,46,14,82
6,55,82,14
55,6,37,88
88,14,46,82
82,88,55,20
64,14,87,6
14,64,82,70
46,27,13,64
82,13,14,35
82,88,13,35
37,20,14,55
55,14,82,10
27,13,35,82
55,82,14,87
14,7,67,46
14,82,55,46
14,82,67,88
14,65,67,82
14,65,13,88
82,14,64,27
14,78,55,65
14,82,37,87
55,14,78,82
55,14,82,35
82,55,14,65
55,70,35,82
14,87,82,55
14,82,55,11
14,55,87,67
14,64,87,37
55,88,82,35
13,35,14,67
88,82,10,37
14,64,82,88
14,20,44,87
14,82,44,87
55,64,44,82
14,35,87,37
87,82,14,67
67,88,14,20
82,55,88,87
55,82,67,13
82,44,37,14
87,67,37,82
14,82,78,65
