winner_num,ar,ar_self
1.0,0.9462271168839258,-0.1346332559170651
2.0,0.6128897359886485,-0.06931136743095967
3.0,1.286521752650343,-0.3801714539547627
4.0,1.4241828318978746,-0.29286843931817363
5.0,2.3053068216658312,-0.2958754493100796
6.0,2.416381877852557,-0.32003392182134205
7.0,2.107027897017738,-0.3362796763145054
8.0,2.347286642468678,-0.318555160192326
9.0,2.3574367310644715,-0.2545742190237289
10.0,2.291615968452421,-0.28185875774053637
11.0,2.117592761550536,-0.27713159635025864
12.0,1.9271790823906065,-0.2804478457728343
13.0,1.8628846883679353,-0.29181235170750264
14.0,1.7813294026055715,-0.31292713248170456
15.0,1.8142202397778786,-0.28198849458862596
16.0,1.7534175613305303,-0.2923594088560605
17.0,1.848442467177136,-0.26851049377733427
18.0,1.7697995298447813,-0.26993664514677995
19.0,1.6693143146012033,-0.2599285878822192
20.0,1.591773947645427,-0.26478213501312164
21.0,1.5465604373141524,-0.26372629755487964
22.0,1.479610738627092,-0.27028590291636245
23.0,1.4741988431034105,-0.2687428295238362
24.0,1.3539166181448925,-0.2746405512337132
25.0,1.3868363877107317,-0.27568131177248656
26.0,1.359150944005303,-0.27127022999288486
27.0,1.358612085706222,-0.2677569899602149
28.0,1.2842567592200487,-0.26036108240834677
29.0,1.2656972010865561,-0.26140962912850285
30.0,1.2306130887597821,-0.249943969496224
31.0,1.2053220808053986,-0.24228486362912693
32.0,1.158353171637688,-0.2347465277010563
33.0,1.1312245685268718,-0.23904851326704557
34.0,1.0793705037137666,-0.2398309996448128
35.0,1.073510349695614,-0.24855815603320175
36.0,1.0691588512899841,-0.24417101237039684
37.0,1.0262850299615924,-0.2534528350194106
38.0,0.9830707000925174,-0.25647531999492656
39.0,0.945690969331072,-0.2670197956649436
40.0,0.9058764434827133,-0.26796560655339363
41.0,0.8955328569764394,-0.25648642035375
42.0,0.8623926863278333,-0.25092984627821857
43.0,0.8466147726452666,-0.25609785621345005
44.0,0.8328101222014395,-0.255874011830429
45.0,0.8239220541019474,-0.2598053467589033
46.0,0.7950281271034243,-0.2573021568446916
47.0,0.7688024565400395,-0.2596607199829155
48.0,0.7661498092598531,-0.2618516285677511
49.0,0.7561183701325385,-0.26034064746778474
50.0,0.7513230753155145,-0.2564609676925472
51.0,0.7407232385989246,-0.25649556552140784
52.0,0.7246156328248765,-0.2580895840039963
53.0,0.7218177389338427,-0.263034600393517
54.0,0.7119181945823472,-0.25748450164370185
55.0,0.7150883342393808,-0.2561445661417353
56.0,0.6986686085233262,-0.2568702153769322
57.0,0.691740646336628,-0.25805771118695686
58.0,0.6913470029717419,-0.25746118742469193
59.0,0.6822838323939715,-0.25652306223874566
60.0,0.6680217083385593,-0.25358912705809533
61.0,0.6506450356441345,-0.25356370024298447
62.0,0.6416508742239808,-0.24980093288245508
63.0,0.6257057049859331,-0.2503029603100141
64.0,0.6143069823421361,-0.2498744347556513
65.0,0.6012115277625683,-0.24730056039836956
66.0,0.5903159083732117,-0.2412928645347192
67.0,0.5766574520423233,-0.23983921350773507
68.0,0.5629698825316436,-0.2440696325692202
69.0,0.5546686428933307,-0.2460909083490943
70.0,0.5497296418031348,-0.24399756347325374
71.0,0.540899873168089,-0.24508964177789483
72.0,0.5203973934157673,-0.24279460504376615
73.0,0.5094551153226126,-0.24264718635737725
74.0,0.49963284686854825,-0.24156898635088053
75.0,0.49925420822142086,-0.2409451201835081
76.0,0.48736466811326107,-0.24221833167847495
77.0,0.4828989927727789,-0.24009710573715726
78.0,0.47316772412290287,-0.23547286973622228
79.0,0.47356246927822476,-0.2351822873773336
80.0,0.47082264109821614,-0.2369461937024141
81.0,0.46519244495240186,-0.23149469121150323
82.0,0.4597485249787112,-0.23213182088675233
83.0,0.44975736622129214,-0.23012172732026182
84.0,0.44871661304379606,-0.2304559742604575
85.0,0.44673069954280353,-0.22653551765348534
86.0,0.43832119469139985,-0.2256000148685614
87.0,0.433801177862879,-0.22361471659696353
88.0,0.4264582621366766,-0.22432248872130223
