5,3,6
9,6,8
4,8,0
0,6,2
0,3,8
8,0,2
0,6,8
2,8,10
4,8,10
2,3,6
3,6,8
6,8,10
6,3,4
0,4,2
6,11,2
6,3,9
3,10,8
6,3,9
4,0,5
10,6,2
3,6,4
3,6,10
10,6,3
3,6,2
10,6,9
2,6,4
0,11,10
3,4,10
8,11,10
3,8,6
10,11,4
0,3,4
4,8,10
11,0,10
10,6,9
4,3,6
3,6,11
3,4,6
3,6,0
6,3,8
3,11,6
3,6,4
3,11,10
4,3,6
3,4,6
6,0,10
3,6,4
10,3,6
3,6,9
10,6,8
3,9,10
4,3,6
3,6,0
4,5,6
3,6,2
5,3,2
3,5,6
0,8,4
0,11,5
3,0,6
2,3,6
3,10,11
5,4,2
0,6,2
7,6,0
6,5,2
3,8,4
2,6,3
4,3,6
0,6,4
6,0,2
6,9,8
3,6,11
6,5,3
3,8,9
3,6,4
5,4,10
4,0,6
6,0,2
6,9,10
11,10,3
5,4,8
5,2,4
6,4,10
6,2,8
11,10,6
5,10,4
8,4,6
4,0,5
6,0,5
5,6,4
6,5,0
8,6,10
5,2,7
6,10,8
6,5,11
8,4,10
6,0,5
4,5,6
10,11,0
4,5,0
2,0,5
5,0,6
6,3,11
10,8,4
11,0,2
6,0,10
2,0,11
2,11,0
11,0,10
11,10,4
10,3,6
6,8,10
6,10,8
8,9,10
4,5,8
4,11,0
10,3,11
11,3,6
9,6,11
5,6,10
6,3,9
0,10,8
6,0,5
8,6,0
11,7,10
10,8,11
8,11,10
0,4,10
0,8,6
8,7,6
0,8,6
2,8,5
11,8,10
8,9,10
0,11,8
11,0,10
8,10,4
10,11,2
3,10,8
2,0,10
4,10,0
0,4,2
0,6,4
11,8,10
2,4,0
4,2,11
4,8,10
0,4,10
10,8,11
0,4,10
11,10,8
0,2,4
2,5,11
2,0,9
3,8,10
5,2,4
3,6,10
0,8,2
3,4,10
10,8,3
9,2,6
10,6,2
4,8,10
0,11,8
4,2,10
6,2,8
4,2,8
4,10,8
8,10,11
9,8,6
0,2,8
6,3,9
2,8,10
6,2,10
4,8,9
4,9,10
9,2,5
2,8,6
2,10,6
10,5,2
11,8,6
4,11,2
9,10,4
1,2,6
10,5,11
10,3,4
4,1,9
10,6,2
7,5,9
4,8,2
6,7,8
1,8,6
5,8,2
5,10,2
3,8,6
5,8,2
6,0,5
6,8,9
11,8,9
6,5,10
5,6,9
7,8,9
9,6,0
8,9,11
2,0,5
0,6,7
1,6,2
8,11,9
0,7,2
2,0,5
11,2,6
9,6,8
7,11,9
5,9,6
5,2,1
6,8,0
8,6,0
6,8,0
0,6,8
0,7,6
3,7,5
6,5,7
11,7,9
2,5,0
0,2,6
2,11,8
9,8,0
8,7,0
6,0,5
8,7,0
8,9,4
0,5,8
9,6,8
5,2,6
8,9,6
0,7,2
6,0,9
7,5,2
0,6,7
6,8,9
11,5,8
7,5,2
0,11,6
0,11,6
0,11,5
2,8,6
7,0,5
2,7,0
8,6,0
1,5,11
