55,6,67,44
41,13,70,7
27,18,55,7
13,18,3,70
55,6,61,57
80,20,55,7
55,33,44,37
4,7,61,65
69,27,7,37
49,7,70,57
44,4,61,20
70,64,7,55
16,18,20,88
82,57,55,18
54,55,7,79
49,18,37,87
55,20,88,7
92,4,54,26
62,79,7,0
6,55,26,7
13,6,64,44
61,7,13,26
18,6,55,7
4,3,35,88
44,6,7,61
55,44,7,6
82,7,20,6
54,20,26,55
79,84,37,7
61,20,6,37
55,13,37,6
27,13,7,64
13,82,64,18
54,57,7,55
26,7,18,37
15,44,55,6
80,57,7,55
44,15,7,65
20,55,7,46
13,3,57,7
7,64,82,65
18,64,7,55
87,57,80,28
65,37,55,44
48,3,55,7
6,13,18,37
80,77,7,37
3,18,82,7
64,37,3,18
18,57,7,55
57,26,7,3
14,26,55,44
65,57,7,55
79,84,37,26
26,82,55,7
82,3,7,18
84,14,37,44
78,55,18,65
78,18,3,7
54,64,18,7
3,55,44,18
55,14,18,3
82,3,7,18
41,18,7,37
7,3,18,55
42,18,3,14
3,44,82,7
18,37,55,7
90,12,3,79
64,37,14,7
20,44,61,14
4,37,7,14
15,89,37,55
0,37,78,18
64,54,37,7
0,55,7,14
26,14,3,92
41,55,7,14
18,26,7,46
88,37,54,7
3,20,78,7
67,7,18,20
44,92,46,7
14,7,67,18
28,55,14,20
37,0,44,7
37,7,76,33
82,7,18,65
18,37,7,3
10,4,64,46
20,3,18,7
64,20,3,7
67,0,44,78
55,26,6,64
37,7,61,0
3,70,12,57
0,63,44,3
36,67,18,7
65,42,46,14
14,86,38,7
64,93,44,7
55,79,7,93
64,55,7,80
20,55,3,18
3,14,4,44
93,44,14,7
64,37,6,80
18,7,37,67
78,87,55,14
6,7,55,44
65,55,7,14
44,7,14,37
15,18,7,14
23,75,92,7
0,52,75,85
67,44,7,26
41,7,3,18
7,14,52,6
67,57,14,7
44,7,57,14
55,26,57,67
57,14,3,7
44,20,7,54
55,76,3,14
20,14,55,7
14,3,55,7
20,14,44,7
40,36,20,55
28,54,64,0
61,37,7,44
7,12,6,14
7,14,6,37
4,3,14,37
62,42,26,6
84,6,37,64
26,42,37,15
7,40,49,37
4,44,15,64
78,88,7,6
42,77,78,35
26,14,64,55
64,7,55,44
26,57,12,55
14,55,59,44
61,64,57,7
61,57,55,7
24,78,64,90
64,7,4,44
57,3,55,7
37,78,14,64
7,37,55,90
59,7,55,42
64,78,44,13
26,44,55,64
89,59,3,7
84,93,78,44
13,55,37,7
64,55,78,7
82,65,78,44
4,78,44,64
6,78,42,7
3,59,55,37
35,37,13,6
44,7,64,55
7,44,42,55
82,7,14,55
26,35,44,3
61,14,55,7
69,64,6,42
64,4,14,7
37,7,6,55
64,37,55,7
35,6,55,7
64,55,7,78
4,7,55,44
64,42,55,7
4,55,7,78
42,57,55,44
4,78,7,55
93,7,14,55
78,4,61,55
55,7,59,97
3,4,78,7
35,87,55,44
4,64,44,7
78,4,61,7
41,78,61,18
59,4,7,35
44,35,4,7
78,7,55,33
14,78,26,55
59,7,44,55
61,4,26,7
12,55,7,26
44,26,55,7
14,26,57,7
44,14,57,55
4,61,55,44
64,14,7,55
64,42,26,55
4,44,3,55
61,64,44,7
39,55,7,6
69,87,35,55
6,26,7,4
0,55,35,97
54,59,4,44
26,57,7,14
79,26,55,7
35,7,55,26
27,35,7,55
14,44,55,42
42,7,4,14
10,6,7,55
89,26,14,78
4,20,55,44
82,6,76,7
13,7,55,14
30,14,55,7
26,14,55,57
14,7,55,57
57,44,7,26
14,57,7,55
4,14,57,7
44,14,55,57
4,44,7,55
74,57,55,7
7,78,55,57
4,26,57,7
87,55,57,26
4,14,57,7
78,57,7,55
26,44,14,4
3,57,7,55
44,4,57,78
61,57,4,7
44,4,55,57
14,7,44,55
14,57,55,7
26,57,4,7
4,55,57,7
44,7,55,57
4,87,44,57
55,4,57,44
4,57,3,7
10,82,7,55
7,82,4,57
10,57,7,55
55,4,7,57
44,7,57,55
57,4,14,7
14,64,57,7
7,44,4,57
4,14,57,7
4,82,57,7
4,57,78,7
87,4,55,57
4,78,57,7
44,82,7,57
78,10,55,42
26,78,55,7
44,79,7,57
3,78,67,57
55,26,57,7
55,44,57,64
10,57,7,64
7,44,55,57
85,4,57,44
55,3,7,57
4,44,57,7
10,7,55,57
93,7,44,57
44,7,57,61
10,55,57,7
7,57,44,55
44,4,7,57
55,57,7,64
26,82,7,57
55,44,7,57
7,26,57,44
44,64,57,7
44,7,57,64
61,7,57,67
4,55,57,44
88,7,55,57
3,64,7,57
26,7,55,57
61,59,44,57
57,64,7,26
64,57,55,7
14,7,57,44
67,44,57,26
57,26,7,82
82,42,57,4
92,57,6,55
4,42,44,57
46,57,7,55
57,55,7,6
61,4,85,57
64,57,74,44
20,7,64,26
18,54,82,67
46,26,89,37
89,46,64,26
64,74,7,55
13,64,70,26
33,93,26,57
59,93,46,14
7,74,20,61
57,20,65,55
65,14,3,57
20,33,7,55
11,65,6,82
93,74,57,7
49,65,93,6
65,4,57,20
74,55,7,92
59,55,18,14
57,3,49,20
64,44,26,55
93,7,46,26
57,26,55,88
49,88,26,13
20,44,6,61
12,14,20,46
88,46,3,33
20,89,37,14
13,55,26,7
13,73,49,64
69,85,55,70
14,64,44,49
35,10,6,64
80,70,89,55
18,37,6,44
55,64,7,85
11,37,65,55
37,33,7,65
37,64,55,65
85,33,7,90
7,37,55,44
88,57,44,65
20,10,67,55
33,13,70,37
61,62,26,14
2,74,20,55
14,37,68,44
57,55,26,14
82,74,20,37
89,70,57,44
33,57,20,37
65,33,64,7
74,10,55,64
70,33,37,57
26,59,57,7
14,57,49,20
59,89,11,14
0,57,14,49
37,67,7,57
4,57,7,14
23,57,20,7
20,44,7,57
7,49,64,14
10,55,64,7
33,59,88,35
57,55,20,14
44,70,61,14
57,7,44,14
7,57,20,14
57,33,7,82
33,37,57,14
57,26,61,7
10,49,57,14
35,14,26,55
57,44,14,7
88,64,55,57
33,14,57,7
97,14,57,7
55,13,61,14
49,7,44,14
55,64,7,14
70,20,44,14
57,61,20,14
82,57,6,20
37,93,74,23
70,88,37,14
37,82,7,20
37,33,74,4
7,57,14,70
20,92,57,14
57,26,44,49
64,20,57,14
20,49,64,14
65,57,26,20
82,20,57,7
13,44,14,57
7,46,74,14
37,26,82,57
46,88,44,57
55,49,44,14
57,20,26,14
82,64,44,57
4,82,57,44
4,14,6,7
6,7,64,14
20,57,14,7
57,64,14,7
30,7,82,14
82,90,65,49
57,65,44,14
37,64,49,57
57,44,14,7
55,7,57,14
57,82,14,26
7,74,57,14
14,18,57,49
46,6,14,26
14,64,65,55
67,7,14,57
49,64,44,59
47,7,4,44
59,37,70,14
37,93,6,44
49,13,6,26
14,70,37,26
33,84,26,82
88,78,6,26
90,64,26,6
44,26,88,7
18,49,36,44
88,65,26,82
70,7,54,26
18,64,82,88
26,44,64,86
41,70,54,65
16,36,18,26
7,64,35,70
27,12,26,65
88,61,7,70
44,7,37,65
82,7,78,65
26,65,6,78
33,88,64,78
44,65,78,33
74,65,18,7
61,6,26,78
54,84,26,44
13,44,10,64
26,6,7,35
18,26,44,6
88,64,26,44
82,27,44,7
69,35,70,44
18,33,26,7
18,61,93,88
42,65,44,88
93,90,64,26
64,18,7,6
84,44,7,55
26,74,7,64
26,74,35,82
59,33,26,61
90,26,44,10
10,26,35,7
84,88,44,7
7,6,55,44
4,61,44,7
7,64,55,44
44,64,7,59
69,88,7,80
70,55,59,61
84,64,26,74
64,65,55,26
93,35,26,37
4,35,49,44
47,44,26,49
51,44,7,26
54,26,49,7
82,88,7,61
88,55,26,35
3,35,61,7
4,54,26,27
26,59,44,7
33,61,64,7
13,33,6,26
7,26,74,35
44,61,7,26
55,26,54,7
26,44,7,61
49,64,65,26
78,26,7,67
84,97,78,65
64,26,7,44
55,26,88,7
26,88,44,6
88,26,6,7
6,26,64,44
64,26,7,6
18,78,7,26
51,44,6,26
61,6,7,26
64,26,54,7
61,26,55,7
