4,7,11
5,7,11
3,7,11
4,7,11
5,7,11
6,7,11
6,11,7
6,7,11
0,7,11
0,7,11
11,7,0
0,7,11
0,7,11
6,11,7
6,11,7
6,11,7
8,7,5
0,7,5
5,7,11
6,5,7
0,7,5
8,5,7
4,5,7
4,5,7
5,7,11
5,7,0
0,7,5
8,0,7
3,0,7
3,0,7
3,7,0
3,7,0
3,7,0
3,0,7
3,0,7
3,0,7
5,7,0
8,0,7
5,7,0
0,7,11
5,7,11
5,7,11
5,7,11
5,7,11
5,7,11
11,7,5
11,7,5
0,7,5
0,7,5
0,7,5
11,3,7
0,3,7
11,3,7
11,3,7
11,3,7
11,7,3
0,7,3
11,7,3
7,11,3
7,3,11
7,3,11
7,11,3
1,7,3
1,7,3
10,11,3
10,11,3
10,1,3
8,1,3
8,1,3
7,1,3
1,6,3
6,1,3
6,11,3
1,11,3
1,11,3
1,11,3
1,11,3
1,11,3
7,6,11
7,3,11
1,11,3
7,1,3
11,3,1
11,1,3
7,1,3
8,1,3
8,1,3
0,8,3
0,8,3
0,8,3
0,8,3
0,8,3
8,0,3
10,8,3
10,11,3
10,11,3
10,11,3
10,11,3
10,11,3
10,11,3
10,11,3
10,11,3
10,11,3
10,11,3
10,11,3
1,11,3
1,11,3
1,11,3
7,3,11
11,3,7
1,3,7
1,3,7
9,3,1
1,9,3
2,1,3
1,2,3
1,2,3
1,3,2
1,3,2
1,2,3
9,3,1
1,3,2
2,3,1
9,1,3
11,3,1
1,10,3
2,3,1
2,1,3
2,1,3
2,1,3
2,1,3
2,1,3
2,1,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
1,2,3
3,2,1
3,2,1
1,2,3
9,11,6
1,9,6
9,1,6
4,1,6
4,1,6
9,1,6
4,1,6
4,1,6
4,1,6
4,1,6
11,6,1
2,6,1
9,1,6
9,1,6
5,6,1
9,6,1
9,1,6
1,9,6
5,9,6
5,9,6
1,9,6
9,6,1
6,1,9
9,1,11
11,9,1
1,9,11
9,1,11
1,4,11
1,4,11
1,4,11
6,4,11
6,4,11
6,4,11
1,4,11
4,6,11
1,4,11
7,4,11
10,4,11
6,4,11
6,4,11
10,7,11
10,3,11
10,11,3
10,11,3
7,3,11
4,7,11
4,7,11
4,7,11
10,7,11
3,7,11
7,11,3
10,11,3
7,11,3
7,11,3
7,11,3
7,11,3
3,7,11
7,11,3
7,4,11
7,4,11
7,4,11
7,3,11
4,3,11
7,4,11
7,4,11
9,7,5
7,3,5
7,9,5
9,7,5
9,3,7
8,3,7
7,8,3
3,8,7
9,1,7
9,1,7
5,1,7
5,1,7
11,1,7
2,3,1
2,4,1
2,4,1
1,4,11
4,2,1
7,4,1
7,4,1
7,4,11
1,7,2
1,2,3
10,2,3
10,2,3
11,10,3
11,4,3
7,4,1
10,3,4
10,11,4
7,3,4
1,4,3
10,3,4
2,4,3
7,4,3
7,4,3
2,7,3
8,4,7
10,8,3
2,3,8
4,8,3
8,10,3
10,8,3
8,2,3
10,8,3
