winner_num,ar,ar_self
1.0,0.5783037934108284,-0.06040313781128159
2.0,0.49345548881670176,0.3344250066287089
3.0,0.40839881058616245,0.1247019968598082
4.0,0.4344778579875428,-0.08039526752085502
5.0,0.4360377509452684,-0.1144135462223993
6.0,0.38405788767359317,-0.1374220151677108
7.0,0.449180811645298,-0.12730611018863291
8.0,0.5121842483171031,-0.10867515177184262
9.0,0.49755399547604373,-0.09683258567472675
10.0,0.48489308764187844,-0.10221915781019864
11.0,0.48913766542135106,-0.1266819573251302
12.0,0.4196244064313428,-0.12804697531155318
13.0,0.4145445440530904,-0.1272704140540899
14.0,0.3658456309135616,-0.14307850917646703
15.0,0.31058531437333947,-0.15911278415568209
16.0,0.3019786643995712,-0.10839778145064527
17.0,0.3038905703647543,-0.1151214722619105
18.0,0.28225837030530787,-0.10937190938963026
