52,2,186,18
309,143,90,78
438,27,78,209
27,62,78,41
75,440,78,311
393,78,216,4
190,146,462,228
330,45,78,190
78,68,190,138
226,78,429,190
203,105,424,190
3,190,41,325
75,41,209,190
172,288,190,371
225,75,226,78
209,363,199,226
363,401,41,209
226,209,78,41
88,102,41,363
343,199,363,209
159,225,444,327
285,444,209,363
309,311,190,209
394,285,119,440
394,64,444,209
64,209,226,311
132,448,209,68
330,444,132,209
152,222,132,242
209,186,362,172
116,41,438,68
4,330,83,41
172,330,288,176
254,412,68,309
309,199,172,444
444,394,150,68
330,271,190,45
190,209,387,83
172,209,415,330
415,330,209,25
363,172,209,210
309,401,209,45
172,309,209,25
68,119,401,25
330,190,209,58
412,68,309,209
25,226,209,68
321,5,405,25
88,409,68,412
41,209,330,386
462,90,452,41
132,309,209,412
68,27,412,78
343,412,411,78
397,343,309,90
386,75,64,78
424,386,3,309
68,309,78,412
94,68,412,228
132,94,371,321
370,68,309,90
272,94,444,68
8,255,309,45
8,138,411,68
464,281,94,163
450,323,309,109
462,323,163,363
412,386,195,309
370,323,412,309
68,132,210,41
209,172,226,41
199,172,41,438
438,41,210,340
41,68,199,58
222,321,209,199
323,199,25,68
344,254,222,68
41,288,321,394
340,327,41,199
255,127,78,411
374,438,41,209
340,199,226,41
41,371,209,102
248,386,41,363
104,216,45,4
234,226,25,209
383,173,325,333
226,371,45,25
130,267,25,173
199,226,130,64
45,411,226,424
173,226,41,45
226,409,429,75
173,45,371,209
272,152,130,228
411,333,4,190
401,64,209,462
194,327,462,209
194,190,462,199
197,78,462,113
267,448,463,462
110,267,362,462
230,104,84,444
88,342,194,429
4,393,64,172
393,424,209,429
299,3,462,88
64,462,409,18
374,104,362,311
172,88,462,4
45,462,102,132
18,462,102,226
88,18,429,102
3,209,132,88
271,386,132,88
90,393,254,132
351,88,132,462
393,132,102,462
386,462,463,271
386,226,45,132
218,316,463,132
112,462,463,75
448,226,102,132
147,299,218,90
209,75,9,458
429,462,78,102
429,209,78,88
18,223,327,102
226,75,463,462
104,90,102,458
458,462,102,226
429,226,209,102
393,429,78,226
218,429,102,311
195,429,444,216
93,190,118,444
452,78,444,127
209,429,102,78
102,429,78,288
224,45,448,209
415,429,132,321
321,102,64,371
429,340,78,415
148,98,75,64
429,102,134,41
353,122,118,102
46,316,340,102
148,371,102,132
326,342,429,195
10,238,67,9
363,429,112,271
291,172,321,25
324,462,172,132
25,136,379,45
176,209,9,351
216,362,138,159
112,148,418,363
374,172,209,362
104,340,363,209
45,393,104,112
363,45,371,138
332,123,405,415
393,138,60,452
238,444,41,199
90,41,209,199
159,41,199,172
209,340,199,102
409,340,444,159
332,199,444,138
75,199,104,409
249,55,409,371
106,190,309,76
424,286,106,228
242,199,75,118
424,174,199,106
311,374,228,75
138,311,286,41
405,459,174,186
138,228,353,424
146,106,67,228
291,311,132,41
133,272,291,228
438,271,88,211
233,228,311,344
291,415,172,211
211,226,415,41
362,138,424,228
223,186,5,163
231,311,5,65
18,311,84,102
78,230,231,311
138,163,18,311
454,138,424,444
459,132,454,62
226,459,199,424
298,172,78,41
371,340,462,78
149,75,102,429
429,41,444,102
340,86,41,78
64,311,102,209
90,41,209,78
311,78,424,462
353,60,102,132
272,327,281,102
429,281,333,226
78,112,288,418
362,226,462,102
18,223,138,462
18,462,199,444
75,199,444,138
92,118,462,444
372,211,226,75
5,362,444,148
79,255,288,81
78,405,68,90
123,462,444,454
94,90,102,118
288,327,52,102
120,464,102,429
344,102,52,118
288,368,462,216
291,102,288,272
45,333,371,462
64,462,45,102
45,288,102,462
444,288,462,102
363,45,252,462
462,102,444,190
448,102,190,199
209,429,190,202
102,233,158,209
190,448,272,333
106,190,33,333
333,267,78,209
433,163,78,334
437,152,429,400
138,374,444,462
183,416,214,429
53,147,209,444
209,49,429,462
422,152,192,429
49,25,102,429
149,117,415,78
149,41,78,90
90,175,199,41
401,90,41,138
25,209,401,90
400,286,209,118
226,462,90,199
118,112,41,462
200,382,424,331
6,424,98,113
218,90,113,462
90,424,172,362
454,314,176,137
231,333,133,424
424,289,6,133
63,424,382,374
118,96,463,113
325,216,133,462
299,84,226,462
78,462,363,75
444,159,45,288
325,319,226,102
84,209,88,226
78,117,338,462
145,84,368,334
143,118,272,429
238,288,84,334
394,272,462,84
209,362,132,52
41,84,225,176
25,448,132,102
80,91,25,102
84,299,374,176
148,113,102,334
462,90,176,226
3,363,102,158
362,271,102,462
158,334,272,102
113,158,272,102
311,365,158,272
462,444,102,158
365,462,176,117
363,124,321,462
117,321,102,272
372,272,117,444
272,462,415,117
321,451,117,272
451,67,117,88
228,382,272,117
283,365,102,321
218,37,66,228
362,462,176,288
172,143,272,102
374,288,102,90
41,18,102,199
349,172,327,288
199,211,349,288
321,429,363,102
52,117,158,134
199,462,102,288
282,272,175,288
136,411,90,288
412,311,272,411
158,272,90,363
451,231,175,272
226,228,134,272
272,138,411,444
41,411,444,429
64,371,411,429
64,138,231,209
299,327,231,272
272,327,102,183
371,102,327,429
412,132,183,429
429,231,209,132
429,25,444,102
444,172,226,429
231,429,288,25
288,412,226,272
412,288,321,52
311,228,132,321
412,105,311,282
242,311,113,272
242,364,367,412
254,363,102,367
65,272,172,311
363,371,311,272
367,78,272,311
338,102,261,231
271,311,282,102
311,75,132,102
311,363,327,102
18,282,311,41
311,363,386,102
175,286,3,102
371,321,102,288
463,285,113,216
371,199,311,102
