ALGN,ALB,NKE,EW
DECK,ALB,TAP,CMG
ON,SPG,WYNN,CCL
TSLA,CCL,IQV,RCL
O,TSLA,MTCH,SPG
AVB,O,CNP,MGM
SPG,TSLA,TPR,KEY
RCL,PARA,UAL,CCL
MOH,EXPE,DXCM,BLDR
RCL,MTCH,UAL,SPG
PAYX,DFS,ZTS,TPR
WYNN,ALGN,ORLY,WMB
URI,WMB,TRGP,OKE
ALGN,WYNN,CCL,DFS
AAL,MTCH,CNP,ALGN
UDR,ADBE,ULTA,EXPE
TRGP,DRI,FANG,COP
PARA,NCLH,APA,BBY
JBL,WDC,CVX,SPG
DXCM,TSLA,HLT,WYNN
COF,TRGP,SPG,BLDR
KMI,VTR,TRGP,ADBE
PSX,EQT,ULTA,DXCM
RMD,ORLY,TSLA,EPAM
NKE,ALGN,RL,ALB
HES,COP,NCLH,AAL
BX,MHK,GNRC,SWK
APA,NVDA,TRV,MPWR
URI,HCA,BLDR,TRGP
WDC,HAL,DFS,COF
BX,OXY,EXR,ACGL
TDG,APTV,ENPH,FCX
META,CDW,WDC,NVDA
SMCI,TSLA,KMX,KKR
DFS,MSCI,LKQ,EFX
KMX,KKR,HBAN,USB
ACGL,IT,MSFT,ULTA
HSY,AES,NCLH,RCL
FANG,ROST,MHK,DRI
XYL,EQT,DOC,TRGP
ETR,AAL,CCL,NCLH
WYNN,TPR,ENPH,MGM
EL,EQT,BLDR,SPG
TDG,ENPH,SMCI,NVR
MMC,EG,AAL,CI
AVB,ALGN,REGN,EQR
AIZ,ENPH,LRCX,ADI
BX,FFIV,ALGN,EXPE
MU,ENPH,NVR,APA
RCL,CCL,COP,CVX
RTX,FCX,ENPH,NCLH
DD,MGM,FCX,DFS
AMP,CVX,NCLH,AAL
FCX,SPG,TRGP,DRI
MPWR,VRSN,AMD,TTWO
OKE,BA,AMP,AXON
HCA,FICO,UHS,ON
TRV,AJG,ADI,APTV
UAL,NCLH,KKR,HAS
CVX,FCX,NFLX,NCLH
MHK,PCG,TDG,DECK
KEY,HLT,AWK,MAA
HAS,EOG,PNR,TRGP
ELV,AAL,APA,KMX
PSA,EXR,EPAM,CVX
WDC,DVN,EMN,MHK
SPG,NCLH,AAL,HBAN
EQR,BBY,LEN,DXCM
LDOS,CTRA,AVGO,ALB
FCX,ALGN,CPAY,NCLH
WMB,AAL,EOG,NCLH
DXCM,NCLH,SCHW,WDC
WMB,MAS,TRGP,AVY
TSLA,BKNG,AMD,MAR
TER,TSLA,ENPH,NVDA
QCOM,AVGO,NVDA,AMAT
BKNG,HLT,WYNN,TSLA
LEN,NVR,PHM,SWK
DLR,SPG,AMP,AAL
LYB,NCLH,UAL,AAL
DXCM,F,BKR,DVN
UAL,WYNN,TRGP,ALGN
SO,TSLA,ALB,SPG
AAL,WBD,RCL,FICO
MAA,ALB,MPWR,AMAT
ON,UAL,VRSN,MS
WDC,C,TRGP,LYB
STX,NKE,ALB,LYB
BA,SPG,TRGP,OKE
PSX,ENPH,NCLH,LYB
DHI,BLDR,IQV,CI
EXR,TER,TSLA,ENPH
AXP,DD,ENPH,SMCI
DHI,NCLH,AAL,BLDR
MOH,DRI,BBWI,SYY
TSCO,QCOM,GILD,CBOE
SYY,DFS,KEY,TSLA
TRGP,BX,FANG,CVX
