Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-01-02 00:00:00-05:00,25.730267429916136,25.75343941847631,25.41361108427604,25.47153663635254,3829400,0.0,0.0
2014-01-03 00:00:00-05:00,25.517876992800463,25.69551318724829,25.506292471934543,25.54490852355957,2558200,0.0,0.0
2014-01-06 00:00:00-05:00,25.56421922330081,25.595113248098826,24.838227317845647,25.054479598999023,8488400,0.0,0.0
2014-01-07 00:00:00-05:00,25.112411011975794,25.305494292641413,25.05062589419566,25.13558006286621,3826200,0.0,0.0
2014-01-08 00:00:00-05:00,25.093094023171346,25.166463635904925,24.872979292538957,24.95793342590332,3451800,0.0,0.0
2014-01-09 00:00:00-05:00,24.981106548299177,25.042891643208932,24.749404340293697,24.81891441345215,4623800,0.0,0.0
2014-01-10 00:00:00-05:00,24.93863275790184,25.201226090283647,24.753271545425523,25.16646957397461,3674400,0.0,0.0
2014-01-13 00:00:00-05:00,25.03517393333207,25.104684018490975,24.714655043642875,24.753271102905273,4819600,0.0,0.0
2014-01-14 00:00:00-05:00,24.8652556302697,25.027444820113818,24.799608045744602,24.984966278076172,3555600,0.0,0.0
2014-01-15 00:00:00-05:00,24.98883049083556,25.143297659243576,24.977245968792793,25.07765007019043,4039800,0.0,0.0
2014-01-16 00:00:00-05:00,25.01972640350856,25.158746570954392,24.92704727395014,25.035173416137695,3316600,0.0,0.0
2014-01-17 00:00:00-05:00,25.027446622070986,25.282317892647413,24.954077000172845,24.98883056640625,4288800,0.0,0.0
2014-01-21 00:00:00-05:00,25.06992698489095,25.208947152336783,24.87298420285636,25.035173416137695,4355200,0.0,0.0
2014-01-22 00:00:00-05:00,25.046753934324588,25.096954507680397,24.81119218527297,24.869117736816406,2792200,0.0,0.0
2014-01-23 00:00:00-05:00,24.79188935506857,24.830508363963382,24.42889335732618,24.54474449157715,4045400,0.0,0.0
2014-01-24 00:00:00-05:00,24.44047631617675,24.564049469114032,24.054309844970703,24.054309844970703,6343800,0.0,0.0
2014-01-27 00:00:00-05:00,24.011831726285266,24.162436417048074,23.687451825754525,23.86122703552246,5636600,0.0,0.0
2014-01-28 00:00:00-05:00,23.88053093527908,24.15084771782836,23.88053093527908,24.116092681884766,3576400,0.0,0.0
2014-01-29 00:00:00-05:00,23.84192240511462,24.27056601950483,23.838059914842365,23.988664627075195,4996400,0.0,0.0
2014-01-30 00:00:00-05:00,24.154707201699086,24.463640016542847,24.116091152259063,24.405715942382812,3148000,0.0,0.0
2014-01-31 00:00:00-05:00,24.034992046565623,24.46363541796345,23.95003498603804,24.243520736694336,4406800,0.0,0.0
2014-02-03 00:00:00-05:00,24.274422601206595,24.297591644766953,23.436440662216253,23.448026657104492,6068200,0.0,0.0
2014-02-04 00:00:00-05:00,23.548431511042175,23.803301326075832,23.482783917266143,23.737653732299805,4873400,0.0,0.0
2014-02-05 00:00:00-05:00,23.903708257668324,24.062036472476688,23.3437665071627,23.84964370727539,5432200,0.0,0.0
2014-02-06 00:00:00-05:00,23.787854509606692,23.94232169040095,23.699036396237865,23.838056564331055,4344200,0.0,0.0
2014-02-07 00:00:00-05:00,23.853498910218,24.24738881838344,23.741510299707567,24.204910278320312,4629200,0.0,0.0
2014-02-10 00:00:00-05:00,24.139258555408368,24.328480720289143,24.000239902988664,24.108366012573242,3748000,0.0,0.0
2014-02-11 00:00:00-05:00,24.104506081156195,24.181739656098983,23.8612223087821,24.100645065307617,4700000,0.0,0.0
2014-02-12 00:00:00-05:00,24.213304551003827,24.454155225125632,24.201649458362095,24.376461029052734,3235800,0.185,0.0
2014-02-13 00:00:00-05:00,24.155035455685304,24.40365571738846,24.085110821844587,24.39200210571289,2606800,0.0,0.0
2014-02-14 00:00:00-05:00,24.345388858222318,24.570701935102292,24.34150481429752,24.524085998535156,2959000,0.0,0.0
2014-02-18 00:00:00-05:00,24.508538193176395,24.531846894165287,24.411420828562743,24.4852294921875,2779400,0.0,0.0
